PartNumber	Code	D(in)	Bf(in)	Tw(in)	Tf(in)	R1(in)	R2(in)	SLOPE(deg)	Sx(in)	Sy(in)	A(in2)	P(lb_ft)	L(in)	vxm(in)	vxp(in)	vym(in)	vyp(in)	Ix(in4)	Vx(in3)	Gx(in)	Iy(in4)	Vy(in3)	Gy(in)	J(in4)	Ax(in2)	Ay(in2)	Alpha(deg)
HP14x117	10	14.209	14.886	0.803	0.803	0.688	0.000	0	0	0	34.44	117.09	85.17	7.44	7.44	7.10	7.10	1224.84	172.41	5.96	442.21	59.41	3.58	8.02	15.94	11.41	0.00
HP14x102	10	14.012	14.783	0.705	0.705	0.688	0.000	0	0	0	30.12	102.42	84.57	7.39	7.39	7.01	7.01	1056.17	150.75	5.92	379.97	51.40	3.55	5.40	13.89	9.87	0.00
HP14x89	10	13.831	14.697	0.614	0.614	0.688	0.000	0	0	0	26.20	89.08	84.04	7.35	7.35	6.92	6.92	906.70	131.11	5.88	325.28	44.27	3.52	3.60	12.04	8.49	0.00
HP14x73	10	13.610	14.587	0.504	0.504	0.688	0.000	0	0	0	21.46	72.96	83.38	7.29	7.29	6.81	6.81	731.04	107.43	5.84	260.88	35.77	3.49	2.01	9.80	6.86	0.00
HP13x100	10	13.150	13.205	0.765	0.765	0.688	0.000	0	0	0	29.50	100.30	76.41	6.60	6.60	6.58	6.58	888.75	135.17	5.49	294.14	44.55	3.16	6.25	13.47	10.06	0.00
HP13x87	10	12.950	13.105	0.665	0.665	0.688	0.000	0	0	0	25.56	86.91	75.81	6.55	6.55	6.48	6.48	758.20	117.10	5.45	249.84	38.13	3.13	4.12	11.62	8.61	0.00
HP13x73	10	12.750	13.005	0.565	0.565	0.688	0.000	0	0	0	21.67	73.67	75.21	6.50	6.50	6.38	6.38	632.73	99.25	5.40	207.38	31.89	3.09	2.54	9.80	7.20	0.00
HP13x60	10	12.540	12.900	0.460	0.460	0.688	0.000	0	0	0	17.62	59.90	74.58	6.45	6.45	6.27	6.27	506.31	80.75	5.36	164.74	25.54	3.06	1.39	7.91	5.77	0.00
HP12x84	10	12.280	12.295	0.685	0.685	0.688	0.000	0	0	0	24.72	84.06	71.19	6.15	6.15	6.14	6.14	652.35	106.25	5.14	212.59	34.58	2.93	4.24	11.23	8.41	0.00
HP12x74	10	12.130	12.217	0.606	0.610	0.688	0.000	0	0	0	21.93	74.56	70.73	6.11	6.11	6.06	6.06	572.12	94.33	5.11	185.73	30.41	2.91	2.98	9.94	7.35	0.00
HP12x63	10	11.940	12.125	0.515	0.515	0.750	0.000	0	0	0	18.59	63.21	70.06	6.06	6.06	5.97	5.97	477.06	79.91	5.07	153.22	25.27	2.87	1.83	8.33	6.15	0.00
HP12x53	10	11.780	12.043	0.433	0.433	0.688	0.000	0	0	0	15.56	52.91	69.69	6.02	6.02	5.89	5.89	394.22	66.93	5.03	126.22	20.96	2.85	1.12	6.95	5.10	0.00
HP10x57	10	9.988	10.224	0.567	0.567	0.625	0.000	0	0	0	16.95	57.62	58.67	5.11	5.11	4.99	4.99	296.52	59.38	4.18	101.19	19.79	2.44	1.97	7.73	5.66	0.00
HP10x42	10	9.701	10.075	0.413	0.421	0.625	0.000	0	0	0	12.49	42.45	57.80	5.04	5.04	4.85	4.85	212.97	43.91	4.13	71.89	14.27	2.40	0.81	5.66	4.01	0.00
HP8x36	10	8.020	8.154	0.445	0.445	0.500	0.000	0	0	0	10.64	36.18	46.91	4.08	4.08	4.01	4.01	120.18	29.97	3.36	40.27	9.88	1.95	0.77	4.84	3.57	0.00
								
