PartNumber	Code	D(in)	Bf(in)	Tw(in)	Tf(in)	R1(in)	R2(in)	SLOPE(deg)	Sx(in)	Sy(in)	A(in2)	P(lb_in)	L(in)	vxm(in)	vxp(in)	vym(in)	vyp(in)	Ix(in4)	Vx(in3)	Gx(in)	Iy(in4)	Vy(in3)	Gy(in)	J(in4)	Ax(in2)	Ay(in2)	Alpha(deg)
M14x18	10	14.000	4.000	0.215	0.270	0.375	0.000	0	0	0	5.17	17.59	42.93	2.00	2.00	7.00	7.00	150.83	21.55	5.40	2.90	1.45	0.75	0.11	1.44	3.01	0.00
M12x11.8	10	12.000	3.065	0.177	0.225	0.313	0.000	0	0	0	3.51	11.93	35.37	1.53	1.53	6.00	6.00	73.27	12.21	4.57	1.09	0.71	0.56	0.05	0.92	2.12	0.00
M12x10.8	10	11.970	3.065	0.160	0.210	0.250	0.000	0	0	0	3.19	10.84	35.45	1.53	1.53	5.99	5.99	66.81	11.16	4.58	1.01	0.66	0.56	0.04	0.86	1.92	0.00
M12x10	10	11.970	3.250	0.149	0.180	0.313	0.000	0	0	0	2.98	10.14	36.11	1.63	1.63	5.99	5.99	62.85	10.50	4.59	1.04	0.64	0.59	0.03	0.78	1.78	0.00
M10x9	10	10.000	2.690	0.157	0.206	0.375	0.000	0	0	0	2.73	9.30	29.80	1.35	1.35	5.00	5.00	40.79	8.16	3.86	0.68	0.50	0.50	0.03	0.74	1.57	0.00
M10x8	10	9.950	2.690	0.141	0.182	0.250	0.000	0	0	0	2.38	8.11	29.95	1.35	1.35	4.98	4.98	34.91	7.02	3.83	0.59	0.44	0.50	0.02	0.65	1.40	0.00
M10x7.5	10	9.990	2.690	0.130	0.173	0.250	0.000	0	0	0	2.24	7.61	30.05	1.35	1.35	5.00	5.00	33.36	6.68	3.86	0.56	0.42	0.50	0.02	0.62	1.30	0.00
M8x6.5	10	8.000	2.281	0.135	0.189	0.313	0.000	0	0	0	1.98	6.72	24.32	1.14	1.14	4.00	4.00	19.31	4.83	3.13	0.38	0.33	0.44	0.02	0.57	1.08	0.00
M8x4.4	10	6.000	1.844	0.114	0.171	0.250	0.000	0	0	0	1.33	4.52	18.72	0.92	0.92	3.00	3.00	7.49	2.50	2.37	0.18	0.20	0.37	0.01	0.42	0.68	0.00
M5x18.9	10	5.000	5.004	0.315	0.417	0.438	0.000	0	0	0	5.65	19.22	28.63	2.50	2.50	2.50	2.50	24.53	9.81	2.08	8.74	3.49	1.24	0.34	2.78	1.57	0.00
