PartNumber	Code	D(in)	Bf(in)	Tw(in)	Tf(in)	R1(in)	R2(in)	SLOPE(deg)	Sx(in)	Sy(in)	A(in2)	P(lb_ft)	L(in)	vxm(in)	vxp(in)	vym(in)	vyp(in)	Ix(in4)	Vx(in3)	Gx(in)	Iy(in4)	Vy(in3)	Gy(in)	J(in4)	Ax(in2)	Ay(in2)	Alpha(deg)
MC18x58	21	18.000	4.201	0.701	0.626	0.750	0.000	9.45	0	0	17.10	58.14	50.76	0.86	3.34	9.00	9.00	676.00	75.11	6.29	17.80	5.33	1.02	3.39	3.51	12.61	0.00
MC18x51.9	21	18.000	4.098	0.598	0.626	0.750	0.000	9.45	0	0	15.30	52.02	50.55	0.86	3.24	9.00	9.00	627.00	69.67	6.40	16.40	5.06	1.04	2.43	3.42	10.77	0.00
MC18x45.8	21	18.000	4.000	0.500	0.626	0.750	0.000	9.45	0	0	13.50	45.90	50.36	0.87	3.13	9.00	9.00	578.00	64.22	6.54	15.10	4.82	1.06	1.76	3.34	9.00	0.00
MC18x42.7	21	18.000	3.949	0.449	0.626	0.750	0.000	9.45	0	0	12.60	42.84	50.25	0.88	3.07	9.00	9.00	554.00	61.56	6.63	14.40	4.69	1.07	1.50	3.30	8.08	0.00
MC13x50	21	13.000	4.413	0.787	0.610	0.750	0.000	9.45	0	0	14.70	49.98	41.43	0.97	3.44	6.50	6.50	314.00	48.31	4.62	16.50	4.80	1.06	3.36	3.59	10.24	0.00
MC13x40	21	13.000	4.185	0.559	0.610	0.750	0.000	9.45	0	0	11.80	40.12	40.98	0.96	3.22	6.50	6.50	273.00	42.00	4.81	13.70	4.25	1.08	1.72	3.41	7.27	0.00
MC13x35	21	13.000	4.071	0.449	0.610	0.750	0.000	9.45	0	0	10.30	35.02	40.74	0.98	3.09	6.50	6.50	252.00	38.77	4.95	12.30	3.98	1.09	1.26	3.31	5.83	0.00
MC13x31.8	21	13.000	4.000	0.374	0.610	0.750	0.000	9.45	0	0	9.35	31.79	40.61	1.00	3.00	6.50	6.50	239.00	36.77	5.06	11.40	3.80	1.10	1.05	3.25	4.86	0.00
MC12x50	21	12.000	4.134	0.835	0.701	0.625	0.000	9.45	0	0	14.70	49.98	38.33	1.05	3.08	6.00	6.00	269.00	44.83	4.28	17.40	5.64	1.09	3.90	3.86	10.02	0.00
MC12x45	21	12.000	4.012	0.713	0.701	0.625	0.000	9.45	0	0	13.20	44.88	38.09	1.04	2.97	6.00	6.00	252.00	42.00	4.37	15.80	5.32	1.09	2.86	3.75	8.55	0.00
MC12x40	21	12.000	3.890	0.591	0.701	0.625	0.000	9.45	0	0	11.80	40.12	37.84	1.04	2.85	6.00	6.00	234.00	39.00	4.45	14.30	5.02	1.10	2.11	3.63	7.09	0.00
MC12x35	21	12.000	3.768	0.469	0.701	0.625	0.000	9.45	0	0	10.30	35.02	37.60	1.05	2.72	6.00	6.00	216.00	36.00	4.58	12.70	4.67	1.11	1.60	3.52	5.62	0.00
MC12x31	21	12.000	3.670	0.370	0.700	0.625	0.000	9.45	0	0	9.12	31.01	37.40	1.08	2.59	6.00	6.00	203.00	33.83	4.72	11.30	4.36	1.11	1.32	3.43	4.44	0.00
MC12x10.6	21	12.000	1.500	0.190	0.309	0.375	0.000	9.45	0	0	3.10	10.54	29.30	0.27	1.23	6.00	6.00	55.40	9.23	4.23	0.38	0.31	0.35	0.07	0.62	2.28	0.00
MC10x41.1	21	10.000	4.323	0.795	0.575	0.688	0.000	9.45	0	0	12.10	41.14	35.11	1.09	3.23	5.00	5.00	158.00	31.60	3.61	15.80	4.89	1.14	2.64	3.31	7.95	0.00
MC10x33.6	21	10.000	4.098	0.575	0.575	0.688	0.000	9.45	0	0	9.87	33.56	34.65	1.08	3.02	5.00	5.00	139.00	27.80	3.75	13.20	4.37	1.16	1.40	3.14	5.75	0.00
MC10x28.5	21	10.000	3.949	0.425	0.575	0.688	0.000	9.45	0	0	8.37	28.46	34.35	1.12	2.83	5.00	5.00	127.00	25.40	3.90	11.40	4.03	1.17	0.94	3.03	4.25	0.00
MC10x25	21	10.000	3.551	0.425	0.500	0.688	0.000	9.45	0	0	7.35	24.99	32.76	0.95	2.60	5.00	5.00	110.00	22.00	3.87	7.35	2.83	1.00	0.68	2.37	4.25	0.00
MC10x22	21	10.000	3.449	0.327	0.500	0.688	0.000	9.45	0	0	6.45	21.93	32.55	0.99	2.46	5.00	5.00	103.00	20.60	4.00	6.50	2.64	1.00	0.51	2.30	3.27	0.00
MC10x8.4	21	10.000	1.500	0.170	0.280	0.438	0.000	9.45	0	0	2.46	8.36	25.28	0.28	1.22	5.00	5.00	32.00	6.40	3.61	0.33	0.27	0.37	0.05	0.56	1.70	0.00
MC10x6.5	21	10.000	1.127	0.152	0.202	0.250	0.000	9.45	0	0	1.91	6.49	23.99	0.18	0.95	5.00	5.00	22.10	4.42	3.40	0.11	0.12	0.24	0.02	0.30	1.52	0.00
MC9x25.4	21	9.000	3.500	0.449	0.551	0.625	0.000	9.45	0	0	7.47	25.40	30.57	0.97	2.53	4.50	4.50	88.00	19.56	3.43	7.65	3.02	1.01	0.82	2.57	4.04	0.00
MC9x23.9	21	9.000	3.449	0.402	0.551	0.625	0.000	9.45	0	0	7.02	23.87	30.46	0.98	2.47	4.50	4.50	85.00	18.89	3.48	7.22	2.93	1.01	0.72	2.53	3.61	0.00
MC8x22.8	21	8.000	3.504	0.425	0.524	0.688	0.000	9.45	0	0	6.70	22.78	28.58	1.01	2.49	4.00	4.00	63.80	15.95	3.09	7.07	2.83	1.03	0.67	2.45	3.40	0.00
