PartNumber	Code	D(in)	Bf(in)	Tw(in)	Tf(in)	R1(in)	R2(in)	SLOPE(deg)	Sx(in)	Sy(in)	A(in2)	P(lb_ft)	L(in)	vxm(in)	vxp(in)	vym(in)	vyp(in)	Ix(in4)	Vx(in3)	Gx(in)	Iy(in4)	Vy(in3)	Gy(in)	J(in4)	Ax(in2)	Ay(in2)	Alpha(deg)
PIPE_SW_0.5	70	0.839	0.839	0.110	0.110	0.000	0.000	0	0	0	0.25	0.86	3.98	0.42	0.42	0.42	0.42	0.02	0.04	0.26	0.02	0.04	0.26	0.03	0.13	0.13	0.00
PIPE_SW_0.75	70	1.051	1.051	0.114	0.114	0.000	0.000	0	0	0	0.34	1.14	4.19	0.53	0.53	0.53	0.53	0.04	0.07	0.33	0.04	0.07	0.33	0.07	0.17	0.17	0.00
PIPE_SW_1	70	1.315	1.315	0.134	0.134	0.000	0.000	0	0	0	0.50	1.69	4.46	0.66	0.66	0.66	0.66	0.09	0.13	0.42	0.09	0.13	0.42	0.18	0.25	0.25	0.00
PIPE_SW_1_0.25	70	1.661	1.661	0.142	0.142	0.000	0.000	0	0	0	0.68	2.30	4.80	0.83	0.83	0.83	0.83	0.20	0.24	0.54	0.20	0.24	0.54	0.39	0.34	0.34	0.00
PIPE_SW_1_0.5	70	1.902	1.902	0.146	0.146	0.000	0.000	0	0	0	0.80	2.73	5.04	0.95	0.95	0.95	0.95	0.31	0.33	0.62	0.31	0.33	0.62	0.62	0.40	0.40	0.00
PIPE_SW_2	70	2.374	2.374	0.154	0.154	0.000	0.000	0	0	0	1.07	3.64	5.52	1.19	1.19	1.19	1.19	0.66	0.56	0.79	0.66	0.56	0.79	1.33	0.54	0.54	0.00
PIPE_SW_2_0.5	70	2.874	2.874	0.205	0.205	0.000	0.000	0	0	0	1.72	5.84	6.02	1.44	1.44	1.44	1.44	1.54	1.07	0.95	1.54	1.07	0.95	3.08	0.86	0.86	0.00
PIPE_SW_3	70	3.500	3.500	0.217	0.217	0.000	0.000	0	0	0	2.23	7.59	6.64	1.75	1.75	1.75	1.75	3.02	1.73	1.16	3.02	1.73	1.16	6.05	1.12	1.12	0.00
PIPE_SW_3_0.5	70	4.000	4.000	0.224	0.224	0.000	0.000	0	0	0	2.66	9.05	7.14	2.00	2.00	2.00	2.00	4.76	2.38	1.34	4.76	2.38	1.34	9.52	1.33	1.33	0.00
PIPE_SW_4	70	4.500	4.500	0.236	0.236	0.000	0.000	0	0	0	3.16	10.76	7.64	2.25	2.25	2.25	2.25	7.21	3.21	1.51	7.21	3.21	1.51	14.43	1.58	1.58	0.00
