PartNumber	Code	D(in)	Bf(in)	Tw(in)	Tf(in)	R1(in)	R2(in)	SLOPE(deg)	Sx(in)	Sy(in)	A(in2)	P(lb_ft)	L(in)	vxm(in)	vxp(in)	vym(in)	vyp(in)	Ix(in4)	Vx(in3)	Gx(in)	Iy(in4)	Vy(in3)	Gy(in)	J(in4)	Ax(in2)	Ay(in2)	Alpha(deg)
RECT_12x8x0.5	80	12.000	8.000	0.500	0.500	1.531	1.031	0	0.00	0.00	17.90	60.86	37.37	4.00	4.00	6.00	6.00	336.36	56.06	4.33	180.28	45.07	3.17	0.00	8.00	12.00	0.00
RECT_12x8x0.375	80	12.000	8.000	0.374	0.374	1.177	0.803	0	0.00	0.00	13.77	46.80	37.98	4.00	4.00	6.00	6.00	268.31	44.72	4.41	144.31	36.08	3.24	0.00	5.98	8.98	0.00
RECT_12x8x0.3125	80	12.000	8.000	0.311	0.311	0.917	0.606	0	0.00	0.00	11.65	39.60	38.43	4.00	4.00	6.00	6.00	231.83	38.64	4.46	124.77	31.19	3.27	0.00	4.98	7.46	0.00
RECT_12x8x0.25	80	12.000	8.000	0.252	0.252	0.756	0.504	0	0.00	0.00	9.55	32.48	38.70	4.00	4.00	6.00	6.00	193.17	32.19	4.50	104.15	26.04	3.30	0.00	4.03	6.05	0.00
RECT_12x8x0.1875	80	12.000	8.000	0.185	0.185	0.555	0.370	0	0.00	0.00	7.12	24.20	39.05	4.00	4.00	6.00	6.00	146.57	24.43	4.54	79.18	19.79	3.34	0.00	2.96	4.44	0.00
RECT_12x6x0.5	80	12.000	6.000	0.500	0.500	1.531	1.031	0	0.00	0.00	15.90	54.06	33.37	3.00	3.00	6.00	6.00	270.19	45.03	4.12	91.77	30.59	2.40	0.00	6.00	12.00	0.00
RECT_12x6x0.375	80	12.000	6.000	0.374	0.374	1.177	0.803	0	0.00	0.00	12.27	41.72	33.98	3.00	3.00	6.00	6.00	217.74	36.29	4.21	74.52	24.84	2.46	0.00	4.49	8.98	0.00
RECT_12x6x0.3125	80	12.000	6.000	0.311	0.311	1.012	0.701	0	0.00	0.00	10.35	35.20	34.26	3.00	3.00	6.00	6.00	187.45	31.24	4.26	64.44	21.48	2.49	0.00	3.73	7.46	0.00
RECT_12x6x0.25	80	12.000	6.000	0.252	0.252	0.756	0.504	0	0.00	0.00	8.54	29.05	34.70	3.00	3.00	6.00	6.00	158.38	26.40	4.31	54.53	18.18	2.53	0.00	3.02	6.05	0.00
RECT_12x6x0.1875	80	12.000	6.000	0.185	0.185	0.555	0.370	0	0.00	0.00	6.38	21.68	35.05	3.00	3.00	6.00	6.00	120.74	20.12	4.35	41.74	13.91	2.56	0.00	2.22	4.44	0.00
RECT_12x4x0.5	80	12.000	4.000	0.500	0.500	1.531	1.031	0	0.00	0.00	13.90	47.26	29.37	2.00	2.00	6.00	6.00	204.03	34.00	3.83	35.06	17.53	1.59	0.00	4.00	12.00	0.00
RECT_12x4x0.375	80	12.000	4.000	0.374	0.374	1.177	0.803	0	0.00	0.00	10.77	36.63	29.98	2.00	2.00	6.00	6.00	167.17	27.86	3.94	29.28	14.64	1.65	0.00	2.99	8.98	0.00
RECT_12x4x0.3125	80	12.000	4.000	0.311	0.311	0.937	0.626	0	0.00	0.00	9.15	31.10	30.39	2.00	2.00	6.00	6.00	146.43	24.41	4.00	25.83	12.91	1.68	0.00	2.49	7.46	0.00
RECT_12x4x0.25	80	12.000	4.000	0.252	0.252	0.756	0.504	0	0.00	0.00	7.54	25.62	30.70	2.00	2.00	6.00	6.00	123.60	20.60	4.05	21.99	11.00	1.71	0.00	2.02	6.05	0.00
RECT_12x4x0.1875	80	12.000	4.000	0.185	0.185	0.555	0.370	0	0.00	0.00	5.64	19.17	31.05	2.00	2.00	6.00	6.00	94.90	15.82	4.10	17.07	8.53	1.74	0.00	1.48	4.44	0.00
RECT_12x2x0.375	80	12.000	2.000	0.374	0.374	1.130	0.756	0	0.00	0.00	9.31	31.65	26.06	1.00	1.00	6.00	6.00	117.74	19.62	3.56	5.61	5.61	0.78	0.00	1.50	8.98	0.00
RECT_12x2x0.3125	80	12.000	2.000	0.311	0.311	0.937	0.626	0	0.00	0.00	7.90	26.88	26.39	1.00	1.00	6.00	6.00	103.93	17.32	3.63	5.13	5.13	0.81	0.00	1.24	7.46	0.00
RECT_12x2x0.25	80	12.000	2.000	0.252	0.252	0.756	0.504	0	0.00	0.00	6.53	22.20	26.70	1.00	1.00	6.00	6.00	88.82	14.80	3.69	4.53	4.53	0.83	0.00	1.01	6.05	0.00
RECT_12x2x0.1875	80	12.000	2.000	0.185	0.185	0.555	0.370	0	0.00	0.00	4.90	16.65	27.05	1.00	1.00	6.00	6.00	69.07	11.51	3.76	3.66	3.66	0.86	0.00	0.74	4.44	0.00
RECT_10x8x0.5	80	10.000	8.000	0.500	0.500	1.531	1.031	0	0.00	0.00	15.90	54.06	33.37	4.00	4.00	5.00	5.00	214.25	42.85	3.67	152.11	38.03	3.09	0.00	8.00	10.00	0.00
RECT_10x8x0.375	80	10.000	8.000	0.374	0.374	1.177	0.803	0	0.00	0.00	12.27	41.72	33.98	4.00	4.00	5.00	5.00	172.27	34.45	3.75	122.54	30.63	3.16	0.00	5.98	7.48	0.00
RECT_10x8x0.3125	80	10.000	8.000	0.311	0.311	1.012	0.701	0	0.00	0.00	10.35	35.20	34.26	4.00	4.00	5.00	5.00	148.19	29.64	3.78	105.53	26.38	3.19	0.00	4.98	6.22	0.00
RECT_10x8x0.25	80	10.000	8.000	0.252	0.252	0.756	0.504	0	0.00	0.00	8.54	29.05	34.70	4.00	4.00	5.00	5.00	124.98	25.00	3.82	89.02	22.26	3.23	0.00	4.03	5.04	0.00
