PartNumber	Code	D(in)	Bf(in)	Tw(in)	Tf(in)	R1(in)	R2(in)	SLOPE(deg)	Sx(in)	Sy(in)	A(in2)	P(lb_ft)	L(in)	vxm(in)	vxp(in)	vym(in)	vyp(in)	Ix(in4)	Vx(in3)	Gx(in)	Iy(in4)	Vy(in3)	Gy(in)	J(in4)	Ax(in2)	Ay(in2)	Alpha(deg)
S24x121	11	24.500	8.051	0.799	1.091	0.938	0.063	9.4500	0	0	35.60	121.04	78.00	4.03	4.03	12.25	12.25	3160.00	257.96	9.42	83.30	20.69	1.53	12.80	11.71	19.58	0.00
S24x106	11	24.500	7.870	0.618	1.091	0.938	0.063	9.4500	0	0	31.20	106.08	77.63	3.94	3.94	12.25	12.25	2940.00	240.00	9.71	77.10	19.59	1.57	10.10	11.44	15.14	0.00
S24x100	11	24.000	7.244	0.744	0.870	0.938	0.000	9.4500	0	0	29.30	99.62	73.88	3.62	3.62	12.00	12.00	2390.00	199.17	9.03	47.70	13.17	1.28	7.58	8.40	17.86	0.00
S24x90	11	24.000	7.126	0.626	0.870	0.938	0.000	9.4500	0	0	26.50	90.10	73.64	3.56	3.56	12.00	12.00	2250.00	187.50	9.21	44.90	12.60	1.30	6.04	8.27	15.02	0.00
S24x80	11	24.000	7.000	0.500	0.870	0.938	0.000	9.4500	0	0	23.50	79.90	73.39	3.50	3.50	12.00	12.00	2100.00	175.00	9.45	42.20	12.06	1.34	4.88	8.12	12.00	0.00
S20x96	11	20.299	7.201	0.799	0.921	0.813	0.000	9.4500	0	0	28.20	95.88	66.41	3.60	3.60	10.15	10.15	1670.00	164.54	7.70	50.20	13.94	1.33	8.39	8.85	16.22	0.00
S20x86	11	20.299	7.059	0.661	0.921	0.813	0.000	9.4500	0	0	25.30	86.02	66.12	3.53	3.53	10.15	10.15	1580.00	155.67	7.90	46.80	13.26	1.36	6.64	8.67	13.43	0.00
S20x75	11	20.000	6.386	0.634	0.795	0.813	0.000	9.4500	0	0	22.00	74.80	62.88	3.19	3.19	10.00	10.00	1280.00	128.00	7.63	29.80	9.33	1.16	4.59	6.77	12.68	0.00
S20x66	11	20.000	6.256	0.504	0.795	0.813	0.000	9.4500	0	0	19.40	65.96	62.62	3.13	3.13	10.00	10.00	1190.00	119.00	7.83	27.70	8.86	1.19	3.58	6.63	10.08	0.00
S18x70	11	18.000	6.252	0.713	0.693	0.813	0.000	9.4500	0	0	20.60	70.04	58.19	3.13	3.13	9.00	9.00	926.00	102.89	6.70	24.10	7.71	1.08	4.15	5.78	12.83	0.00
S18x54.7	11	18.000	6.000	0.461	0.693	0.813	0.000	9.4500	0	0	16.10	54.74	57.68	3.00	3.00	9.00	9.00	804.00	89.33	7.07	20.80	6.93	1.14	2.37	5.54	8.29	0.00
S15x50	11	15.000	5.642	0.551	0.622	0.750	0.000	9.4500	0	0	14.70	49.98	50.18	2.82	2.82	7.50	7.50	486.00	64.80	5.75	15.70	5.57	1.03	2.12	4.68	8.27	0.00
S15x42.9	11	15.000	5.500	0.409	0.622	0.750	0.000	9.4500	0	0	12.60	42.84	49.89	2.75	2.75	7.50	7.50	447.00	59.60	5.96	14.40	5.24	1.07	1.54	4.56	6.14	0.00
S12x50	11	12.000	5.476	0.685	0.657	0.750	0.000	9.4500	0	0	14.70	49.98	43.25	2.74	2.74	6.00	6.00	305.00	50.83	4.56	15.70	5.73	1.03	2.82	4.80	8.22	0.00
S12x40.8	11	12.000	5.252	0.461	0.657	0.750	0.000	9.4500	0	0	12.00	40.80	42.80	2.63	2.63	6.00	6.00	272.00	45.33	4.76	13.60	5.18	1.06	1.76	4.60	5.53	0.00
S12x35	11	12.000	5.079	0.429	0.543	0.625	0.000	9.4500	0	0	10.30	35.02	42.38	2.54	2.54	6.00	6.00	229.00	38.17	4.72	9.87	3.89	0.98	1.08	3.68	5.15	0.00
S12x31.8	11	12.000	5.000	0.350	0.543	0.625	0.000	9.4500	0	0	9.35	31.79	42.23	2.50	2.50	6.00	6.00	218.00	36.33	4.83	9.36	3.74	1.00	0.90	3.62	4.20	0.00
S10x35	11	10.000	4.945	0.594	0.492	0.625	0.000	9.4500	0	0	10.30	35.02	37.52	2.47	2.47	5.00	5.00	147.00	29.40	3.78	8.36	3.38	0.90	1.29	3.24	5.94	0.00
S10x25.4	11	10.000	4.661	0.311	0.492	0.625	0.000	9.4500	0	0	7.46	25.36	36.95	2.33	2.33	5.00	5.00	124.00	24.80	4.08	6.79	2.91	0.95	0.60	3.06	3.11	0.00
S8x23	11	8.000	4.169	0.441	0.425	0.563	0.000	9.4500	0	0	6.77	23.02	30.83	2.08	2.08	4.00	4.00	64.90	16.23	3.10	4.31	2.07	0.80	0.55	2.36	3.53	0.00
S8x18.4	11	8.000	4.000	0.272	0.425	0.563	0.000	9.4500	0	0	5.41	18.39	30.49	2.00	2.00	4.00	4.00	57.60	14.40	3.26	3.73	1.87	0.83	0.34	2.27	2.17	0.00
S7x20	11	7.000	3.858	0.449	0.394	0.563	0.000	9.4500	0	0	5.88	19.99	27.57	1.93	1.93	3.50	3.50	42.40	12.11	2.69	3.17	1.64	0.73	0.45	2.03	3.14	0.00
S7x15.3	11	7.000	3.661	0.252	0.394	0.563	0.000	9.4500	0	0	4.50	15.30	27.18	1.83	1.83	3.50	3.50	36.70	10.49	2.86	2.64	1.44	0.77	0.24	1.92	1.76	0.00
S6x17.25	11	6.000	3.567	0.465	0.358	0.500	0.000	9.4500	0	0	5.07	17.24	24.48	1.78	1.78	3.00	3.00	26.30	8.77	2.28	2.31	1.30	0.67	0.37	1.70	2.79	0.00
S6x12.5	11	6.000	3.331	0.232	0.358	0.500	0.000	9.4500	0	0	3.67	12.48	24.00	1.67	1.67	3.00	3.00	22.10	7.37	2.45	1.82	1.09	0.70	0.17	1.59	1.39	0.00
