PartNumber	Code	D(in)	Bf(in)	Tw(in)	Tf(in)	R1(in)	R2(in)	SLOPE(deg)	Sx(in)	Sy(in)	A(in2)	P(lb_ft)	L(in)	vxm(in)	vxp(in)	vym(in)	vyp(in)	Ix(in4)	Vx(in3)	Gx(in)	Iy(in4)	Vy(in3)	Gy(in)	J(in4)	Ax(in2)	Ay(in2)	Alpha(deg)
SQUA_10x10x0.625	80	10.000	10.000	0.626	0.626	1.799	1.201	0	0.00	0.00	21.93	74.56	36.91	5.00	5.00	5.00	5.00	307.15	61.43	3.74	307.15	61.43	3.74	0.00	12.52	12.52	0.00
SQUA_10x10x0.5	80	10.000	10.000	0.500	0.500	1.500	1.000	0	0.00	0.00	17.93	60.95	37.42	5.00	5.00	5.00	5.00	260.13	52.03	3.81	260.13	52.03	3.81	0.00	10.00	10.00	0.00
SQUA_10x10x0.375	80	10.000	10.000	0.374	0.374	1.098	0.799	0	0.00	0.00	13.91	47.31	38.11	5.00	5.00	5.00	5.00	210.14	42.03	3.89	210.14	42.03	3.89	0.00	7.48	7.48	0.00
SQUA_10x10x0.3125	80	10.000	10.000	0.311	0.311	0.902	0.598	0	0.00	0.00	11.66	39.66	38.45	5.00	5.00	5.00	5.00	179.09	35.82	3.92	179.09	35.82	3.92	0.00	6.22	6.22	0.00
SQUA_10x10x0.25	80	10.000	10.000	0.252	0.252	0.098	0.004	0	0.00	0.00	9.82	33.38	39.83	5.00	5.00	5.00	5.00	155.50	31.10	3.98	155.50	31.10	3.98	0.00	5.04	5.04	0.00
SQUA_10x10x0.1875	80	10.000	10.000	0.185	0.185	0.500	0.299	0	0.00	0.00	7.13	24.23	39.14	5.00	5.00	5.00	5.00	113.28	22.66	3.99	113.28	22.66	3.99	0.00	3.70	3.70	0.00
SQUA_8x8x0.625	80	8.000	8.000	0.626	0.626	1.799	1.201	0	0.00	0.00	16.92	57.54	28.91	4.00	4.00	4.00	4.00	144.25	36.06	2.92	144.25	36.06	2.92	0.00	10.02	10.02	0.00
SQUA_8x8x0.5	80	8.000	8.000	0.500	0.500	1.500	1.000	0	0.00	0.00	13.93	47.35	29.42	4.00	4.00	4.00	4.00	124.40	31.10	2.99	124.40	31.10	2.99	0.00	8.00	8.00	0.00
SQUA_8x8x0.375	80	8.000	8.000	0.374	0.374	1.098	0.799	0	0.00	0.00	10.92	37.13	30.11	4.00	4.00	4.00	4.00	102.73	25.68	3.07	102.73	25.68	3.07	0.00	5.98	5.98	0.00
SQUA_8x8x0.3125	80	8.000	8.000	0.311	0.311	0.902	0.598	0	0.00	0.00	9.18	31.20	30.45	4.00	4.00	4.00	4.00	88.21	22.05	3.10	88.21	22.05	3.10	0.00	4.98	4.98	0.00
SQUA_8x8x0.25	80	8.000	8.000	0.252	0.252	0.701	0.500	0	0.00	0.00	7.60	25.85	30.80	4.00	4.00	4.00	4.00	74.82	18.70	3.14	74.82	18.70	3.14	0.00	4.03	4.03	0.00
SQUA_8x8x0.1875	80	8.000	8.000	0.185	0.185	0.004	0.004	0	0.00	0.00	5.78	19.67	31.99	4.00	4.00	4.00	4.00	58.91	14.73	3.19	58.91	14.73	3.19	0.00	2.96	2.96	0.00
SQUA_7x7x0.5	80	7.000	7.000	0.500	0.500	1.500	1.000	0	0.00	0.00	11.93	40.55	25.42	3.50	3.50	3.50	3.50	79.23	22.64	2.58	79.23	22.64	2.58	0.00	7.00	7.00	0.00
SQUA_7x7x0.375	80	7.000	7.000	0.374	0.374	1.098	0.701	0	0.00	0.00	9.30	31.62	26.11	3.50	3.50	3.50	3.50	65.48	18.71	2.65	65.48	18.71	2.65	0.00	5.24	5.24	0.00
SQUA_7x7x0.3125	80	7.000	7.000	0.311	0.311	0.902	0.598	0	0.00	0.00	7.93	26.97	26.45	3.50	3.50	3.50	3.50	57.45	16.41	2.69	57.45	16.41	2.69	0.00	4.35	4.35	0.00
SQUA_7x7x0.25	80	7.000	7.000	0.252	0.252	0.701	0.500	0	0.00	0.00	6.59	22.42	26.80	3.50	3.50	3.50	3.50	49.08	14.02	2.73	49.08	14.02	2.73	0.00	3.53	3.53	0.00
SQUA_7x7x0.1875	80	7.000	7.000	0.185	0.185	0.500	0.299	0	0.00	0.00	4.91	16.68	27.14	3.50	3.50	3.50	3.50	37.42	10.69	2.76	37.42	10.69	2.76	0.00	2.59	2.59	0.00
SQUA_6x6x0.5	80	6.000	6.000	0.500	0.500	1.299	0.799	0	0.00	0.00	10.10	34.34	21.77	3.00	3.00	3.00	3.00	48.16	16.05	2.18	48.16	16.05	2.18	0.00	6.00	6.00	0.00
SQUA_6x6x0.375	80	6.000	6.000	0.374	0.374	0.902	0.500	0	0.00	0.00	7.93	26.97	22.45	3.00	3.00	3.00	3.00	40.47	13.49	2.26	40.47	13.49	2.26	0.00	4.49	4.49	0.00
SQUA_6x6x0.3125	80	6.000	6.000	0.311	0.311	0.701	0.402	0	0.00	0.00	6.79	23.10	22.80	3.00	3.00	3.00	3.00	35.81	11.94	2.30	35.81	11.94	2.30	0.00	3.73	3.73	0.00
SQUA_6x6x0.25	80	6.000	6.000	0.252	0.252	0.598	0.299	0	0.00	0.00	5.56	18.91	22.97	3.00	3.00	3.00	3.00	29.99	10.00	2.32	29.99	10.00	2.32	0.00	3.02	3.02	0.00
SQUA_6x6x0.1875	80	6.000	6.000	0.185	0.185	0.402	0.201	0	0.00	0.00	4.20	14.28	23.31	3.00	3.00	3.00	3.00	23.37	7.79	2.36	23.37	7.79	2.36	0.00	2.22	2.22	0.00
SQUA_5x5x0.5	80	5.000	5.000	0.500	0.500	1.201	0.701	0	0.00	0.00	8.18	27.83	17.94	2.50	2.50	2.50	2.50	25.96	10.38	1.78	25.96	10.38	1.78	0.00	5.00	5.00	0.00
SQUA_5x5x0.375	80	5.000	5.000	0.374	0.374	0.902	0.500	0	0.00	0.00	6.44	21.89	18.45	2.50	2.50	2.50	2.50	22.01	8.80	1.85	22.01	8.80	1.85	0.00	3.74	3.74	0.00
SQUA_5x5x0.3125	80	5.000	5.000	0.311	0.311	0.701	0.402	0	0.00	0.00	5.55	18.87	18.80	2.50	2.50	2.50	2.50	19.76	7.90	1.89	19.76	7.90	1.89	0.00	3.11	3.11	0.00
SQUA_5x5x0.25	80	5.000	5.000	0.252	0.252	0.598	0.299	0	0.00	0.00	4.55	15.49	18.97	2.50	2.50	2.50	2.50	16.67	6.67	1.91	16.67	6.67	1.91	0.00	2.52	2.52	0.00
SQUA_5x5x0.1875	80	5.000	5.000	0.185	0.185	0.402	0.201	0	0.00	0.00	3.46	11.76	19.31	2.50	2.50	2.50	2.50	13.16	5.27	1.95	13.16	5.27	1.95	0.00	1.85	1.85	0.00
SQUA_4x4x0.5	80	4.000	4.000	0.500	0.500	1.201	0.701	0	0.00	0.00	6.18	21.03	13.94	2.00	2.00	2.00	2.00	11.58	5.79	1.37	11.58	5.79	1.37	0.00	4.00	4.00	0.00
SQUA_4x4x0.375	80	4.000	4.000	0.374	0.374	0.902	0.500	0	0.00	0.00	4.94	16.80	14.45	2.00	2.00	2.00	2.00	10.23	5.12	1.44	10.23	5.12	1.44	0.00	2.99	2.99	0.00
SQUA_4x4x0.3125	80	4.000	4.000	0.311	0.311	0.701	0.402	0	0.00	0.00	4.31	14.64	14.80	2.00	2.00	2.00	2.00	9.40	4.70	1.48	9.40	4.70	1.48	0.00	2.49	2.49	0.00
SQUA_4x4x0.25	80	4.000	4.000	0.252	0.252	0.598	0.299	0	0.00	0.00	3.55	12.06	14.97	2.00	2.00	2.00	2.00	8.03	4.01	1.50	8.03	4.01	1.50	0.00	2.02	2.02	0.00
SQUA_4x4x0.1875	80	4.000	4.000	0.185	0.185	0.402	0.201	0	0.00	0.00	2.72	9.25	15.31	2.00	2.00	2.00	2.00	6.47	3.23	1.54	6.47	3.23	1.54	0.00	1.48	1.48	0.00
SQUA_3.5x3.5x0.25	80	3.500	3.500	0.252	0.252	0.500	0.201	0	0.00	0.00	3.09	10.52	13.14	1.75	1.75	1.75	1.75	5.29	3.02	1.31	5.29	3.02	1.31	0.00	1.76	1.76	0.00
SQUA_3x3x0.25	80	3.000	3.000	0.252	0.252	0.500	0.201	0	0.00	0.00	2.59	8.80	11.14	1.50	1.50	1.50	1.50	3.15	2.10	1.10	3.15	2.10	1.10	0.00	1.51	1.51	0.00
SQUA_3x3x0.1875	80	3.000	3.000	0.185	0.185	0.299	0.098	0	0.00	0.00	2.01	6.85	11.49	1.50	1.50	1.50	1.50	2.62	1.75	1.14	2.62	1.75	1.14	0.00	1.11	1.11	0.00
SQUA_2x2x0.25	80	2.000	2.000	0.252	0.252	0.500	0.201	0	0.00	0.00	1.58	5.38	7.14	1.00	1.00	1.00	1.00	0.76	0.76	0.69	0.76	0.76	0.69	0.00	1.01	1.01	0.00
SQUA_2x2x0.1875	80	2.000	2.000	0.185	0.185	0.299	0.098	0	0.00	0.00	1.27	4.33	7.49	1.00	1.00	1.00	1.00	0.68	0.68	0.73	0.68	0.68	0.73	0.00	0.74	0.74	0.00
