PartNumber	Code	D(in)	Bf(in)	Tw(in)	Tf(in)	R1(in)	R2(in)	SLOPE(deg)	Sx(in)	Sy(in)	A(in2)	P(lb_ft)	L(in)	vxm(in)	vxp(in)	vym(in)	vyp(in)	Ix(in4)	Vx(in3)	Gx(in)	Iy(in4)	Vy(in3)	Gy(in)	J(in4)	Ax(in2)	Ay(in2)	Alpha(deg)
WT18x179.5	40	18.7	16.73	1.12	2.01	1.125	0	0	0	0	52.86	179.74	69.89	8.37	8.37	4.32	14.38	1497.92	104.20	5.32	786.67	94.04	3.86	59.47	22.42	13.96	0.00
WT18x164	40	18.54	16.63	1.02	1.85	1.125	0	0	0	0	48.33	164.33	69.37	8.32	8.32	4.20	14.34	1348.18	94.04	5.28	710.85	85.49	3.84	45.92	20.51	12.61	0.00
WT18x150	40	18.37	16.655	0.945	1.68	1.125	0	0	0	0	44.30	150.61	69.08	8.33	8.33	4.12	14.25	1226.30	86.08	5.26	648.27	77.85	3.83	34.74	18.65	11.57	0.00
WT18x140	40	18.26	16.595	0.885	1.57	1.125	0	0	0	0	41.37	140.65	68.74	8.30	8.30	4.06	14.20	1136.77	80.05	5.24	599.18	72.21	3.81	28.29	17.37	10.77	0.00
WT18x130	40	18.13	16.55	0.84	1.44	1.125	0	0	0	0	38.39	130.54	68.39	8.28	8.28	4.04	14.09	1057.98	75.11	5.25	545.06	65.87	3.77	22.14	15.89	10.15	0.00
WT18x122.5	40	18.04	16.51	0.8	1.35	1.125	0	0	0	0	36.18	123.02	68.13	8.26	8.26	4.02	14.02	995.92	71.02	5.25	507.25	61.45	3.74	18.36	14.86	9.62	0.00
WT18x115	40	17.95	16.47	0.76	1.26	1.125	0	0	0	0	33.98	115.53	67.87	8.24	8.24	3.99	13.96	934.75	66.98	5.24	469.96	57.07	3.72	15.04	13.83	9.09	0.00
WT18x128	40	18.71	12.215	0.96	1.73	1.063	0	0	0	0	37.92	128.92	60.94	6.11	6.11	4.90	13.81	1206.52	87.37	5.64	264.27	43.27	2.64	29.22	14.09	11.97	0.00
WT18x116	40	18.56	12.12	0.87	1.57	1.063	0	0	0	0	34.29	116.60	60.45	6.06	6.06	4.80	13.76	1080.32	78.51	5.61	234.10	38.63	2.61	21.69	12.69	10.76	0.00
WT18x105	40	18.345	12.18	0.83	1.36	0.938	0	0	0	0	31.04	105.54	60.24	6.09	6.09	4.86	13.49	986.38	73.13	5.64	205.75	33.79	2.57	15.06	11.04	10.15	0.00
WT18x97	40	18.245	12.115	0.765	1.26	0.938	0	0	0	0	28.64	97.36	59.91	6.06	6.06	4.78	13.46	902.72	67.04	5.61	187.48	30.95	2.56	11.89	10.18	9.30	0.00
WT18x91	40	18.165	12.075	0.725	1.18	0.938	0	0	0	0	26.94	91.60	59.67	6.04	6.04	4.75	13.41	846.93	63.15	5.61	173.80	28.79	2.54	9.82	9.50	8.78	0.00
WT18x85	40	18.085	12.03	0.68	1.1	0.875	0	0	0	0	25.11	85.38	59.48	6.02	6.02	4.72	13.37	787.18	58.89	5.60	160.14	26.62	2.53	7.97	8.82	8.20	0.00
WT18x80	40	18.005	12	0.65	1.02	0.938	0	0	0	0	23.66	80.44	59.20	6.00	6.00	4.72	13.28	741.61	55.83	5.60	147.39	24.56	2.50	6.50	8.16	7.80	0.00
WT18x75	40	17.925	11.975	0.625	0.94	0.875	0	0	0	0	22.20	75.48	59.05	5.99	5.99	4.77	13.16	699.29	53.14	5.61	134.95	22.54	2.47	5.26	7.50	7.47	0.00
WT18x67.5	40	17.775	11.95	0.6	0.79	0.875	0	0	0	0	19.96	67.86	58.70	5.98	5.98	4.94	12.83	637.83	49.70	5.65	112.74	18.87	2.38	3.57	6.29	7.11	0.00
WT16.5x177	40	17.775	16.1	1.16	2.09	0.813	0	0	0	0	52.13	177.23	67.05	8.05	8.05	4.15	13.62	1319.06	96.84	5.03	729.06	90.57	3.74	64.01	22.43	13.75	0.00
WT16.5x159	40	17.58	15.985	1.04	1.89	0.813	0	0	0	0	46.81	159.16	66.43	7.99	7.99	4.02	13.56	1163.45	85.77	4.99	644.92	80.69	3.71	46.88	20.14	12.19	0.00
WT16.5x145.5	40	17.42	15.905	0.96	1.73	0.813	0	0	0	0	42.86	145.73	65.95	7.95	7.95	3.93	13.49	1055.49	78.26	4.96	581.34	73.10	3.68	35.93	18.34	11.15	0.00
WT16.5x131.5	40	17.265	15.805	0.87	1.57	0.813	0	0	0	0	38.75	131.76	65.44	7.90	7.90	3.83	13.43	943.00	70.21	4.93	517.51	65.49	3.65	26.69	16.54	10.01	0.00
WT16.5x120.5	40	17.09	15.86	0.83	1.4	0.813	0	0	0	0	35.51	120.74	65.20	7.93	7.93	3.84	13.25	871.60	65.79	4.95	466.29	58.80	3.62	19.60	14.80	9.46	0.00
WT16.5x110.5	40	16.965	15.805	0.775	1.275	0.813	0	0	0	0	32.59	110.82	64.84	7.90	7.90	3.81	13.16	799.44	60.77	4.95	420.19	53.17	3.59	14.96	13.43	8.77	0.00
WT16.5x100.5	40	16.84	15.745	0.715	1.15	0.813	0	0	0	0	29.61	100.67	64.47	7.87	7.87	3.77	13.07	724.93	55.48	4.95	374.63	47.59	3.56	11.08	12.07	8.03	0.00
WT16.5x84.5	40	16.91	11.5	0.67	1.22	0.813	0	0	0	0	24.83	84.41	56.12	5.75	5.75	4.20	12.71	649.25	51.08	5.11	155.10	26.97	2.50	9.56	9.35	7.55	0.00
WT16.5x76	40	16.745	11.565	0.635	1.055	0.813	0	0	0	0	22.45	76.32	55.92	5.78	5.78	4.25	12.49	592.60	47.44	5.14	136.40	23.59	2.47	6.57	8.13	7.09	0.00
WT16.5x70.5	40	16.65	11.535	0.605	0.96	0.813	0	0	0	0	20.85	70.89	55.67	5.77	5.77	4.28	12.37	552.65	44.67	5.15	123.15	21.35	2.43	5.11	7.38	6.72	0.00
WT16.5x65	40	16.545	11.51	0.58	0.855	0.813	0	0	0	0	19.22	65.36	55.41	5.76	5.76	4.35	12.19	514.02	42.16	5.17	108.97	18.93	2.38	3.83	6.56	6.40	0.00
WT16.5x59	40	16.43	11.48	0.55	0.74	0.813	0	0	0	0	17.41	59.19	55.12	5.74	5.74	4.45	11.98	469.92	39.23	5.20	93.58	16.30	2.32	2.71	5.66	6.02	0.00
WT15x117.5	40	15.65	15.055	0.83	1.5	0.75	0	0	0	0	34.57	117.53	60.77	7.53	7.53	3.41	12.24	674.03	55.09	4.42	427.29	56.76	3.52	21.99	15.06	8.66	0.00
WT15x105.5	40	15.47	15.105	0.775	1.315	0.813	0	0	0	0	31.12	105.80	60.45	7.55	7.55	3.39	12.08	609.89	50.50	4.43	378.31	50.09	3.49	15.28	13.24	7.99	0.00
WT15x95.5	40	15.34	15.04	0.71	1.185	0.75	0	0	0	0	28.11	95.59	60.12	7.52	7.52	3.34	12.00	548.91	45.75	4.42	336.45	44.74	3.46	11.23	11.88	7.26	0.00
WT15x86.5	40	15.22	14.985	0.655	1.065	0.813	0	0	0	0	25.51	86.75	59.71	7.49	7.49	3.31	11.91	497.16	41.73	4.41	299.05	39.91	3.42	8.24	10.64	6.65	0.00
WT15x74	40	15.335	10.48	0.65	1.18	0.75	0	0	0	0	21.81	74.15	50.99	5.24	5.24	3.83	11.50	466.73	40.58	4.63	113.57	21.67	2.28	7.88	8.24	6.65	0.00
WT15x66	40	15.155	10.545	0.615	1	0.75	0	0	0	0	19.49	66.27	50.76	5.27	5.27	3.89	11.26	421.86	37.46	4.65	98.05	18.60	2.24	5.17	7.03	6.21	0.00
WT15x62	40	15.085	10.515	0.585	0.93	0.75	0	0	0	0	18.30	62.22	50.56	5.26	5.26	3.89	11.20	395.96	35.36	4.65	90.39	17.19	2.22	4.22	6.52	5.88	0.00
WT15x58	40	15.005	10.495	0.565	0.85	0.75	0	0	0	0	17.16	58.34	50.36	5.25	5.25	3.93	11.08	373.52	33.73	4.67	82.15	15.65	2.19	3.36	5.95	5.65	0.00
