PartNumber	Code	D(in)	Bf(in)	Tw(in)	Tf(in)	R1(in)	R2(in)	SLOPE(deg)	Sx(in)	Sy(in)	A(in2)	P(lb_ft)	L(in)	vxm(in)	vxp(in)	vym(in)	vyp(in)	Ix(in4)	Vx(in3)	Gx(in)	Iy(in4)	Vy(in3)	Gy(in)	J(in4)	Ax(in2)	Ay(in2)	Alpha(deg)
L9x4x1	30	9.000	4.000	1.000	1.000	0.500	0.250	0	0	0	12.03	40.89	25.57	1.67	2.41	4.01	5.60	100.44	17.93	2.89	8.26	3.43	0.83	4.00	4.00	9.00	11.43
L9x4x0.875	30	9.000	4.000	0.875	0.875	0.500	0.250	0	0	0	10.64	36.16	25.57	1.63	2.42	3.98	5.64	90.04	15.96	2.91	7.34	3.03	0.83	2.71	3.50	7.88	11.67
L9x4x0.75	30	9.000	4.000	0.750	0.750	0.500	0.250	0	0	0	9.21	31.33	25.57	1.58	2.44	3.95	5.68	79.07	13.92	2.93	6.42	2.63	0.83	1.72	3.00	6.75	11.89
L9x4x0.625	30	9.000	4.000	0.625	0.625	0.500	0.250	0	0	0	7.76	26.39	25.57	1.53	2.46	3.92	5.72	67.50	11.80	2.95	5.48	2.22	0.84	1.01	2.50	5.63	12.08
L9x4x0.5625	30	9.000	4.000	0.563	0.563	0.500	0.250	0	0	0	7.02	23.88	25.57	1.51	2.48	3.90	5.74	61.48	10.71	2.96	4.99	2.02	0.84	0.74	2.25	5.06	12.17
L9x4x0.5	30	9.000	4.000	0.500	0.500	0.500	0.250	0	0	0	6.28	21.34	25.57	1.48	2.49	3.88	5.76	55.31	9.60	2.97	4.50	1.81	0.85	0.52	2.00	4.50	12.25
L8x6x1	30	8.000	6.000	1.000	1.000	0.500	0.250	0	0	0	13.03	44.29	27.57	2.71	2.96	4.40	5.49	97.87	17.81	2.74	21.15	7.16	1.27	4.33	6.00	8.00	28.43
L8x6x0.875	30	8.000	6.000	0.875	0.875	0.500	0.250	0	0	0	11.51	39.14	27.57	2.65	2.95	4.39	5.51	87.83	15.94	2.76	18.82	6.38	1.28	2.93	5.25	7.00	28.59
L8x6x0.75	30	8.000	6.000	0.750	0.750	0.500	0.250	0	0	0	9.96	33.88	27.57	2.59	2.94	4.37	5.53	77.19	13.97	2.78	16.43	5.58	1.28	1.86	4.50	6.00	28.74
L8x6x0.625	30	8.000	6.000	0.625	0.625	0.500	0.250	0	0	0	8.39	28.51	27.57	2.53	2.94	4.36	5.54	65.94	11.89	2.80	13.98	4.76	1.29	1.09	3.75	5.00	28.87
