PartNumber	Code	D(in)	Bf(in)	Tw(in)	Tf(in)	R1(in)	R2(in)	SLOPE(deg)	Sx(in)	Sy(in)	A(in2)	P(lb_ft)	L(in)	vxm(in)	vxp(in)	vym(in)	vyp(in)	Ix(in4)	Vx(in3)	Gx(in)	Iy(in4)	Vy(in3)	Gy(in)	J(in4)	Ax(in2)	Ay(in2)	Alpha(deg)
W44x285	10	44.020	11.811	1.024	1.772	0.938	0.000	0	0	0	84.1	285.8	131.63	5.91	5.91	22.01	22.01	24650	1120	17.12	491	83	2.42	75.79	27.91	45.08	0
W44x248	10	43.620	11.811	0.865	1.575	0.938	0.000	0	0	0	73.0	248.1	131.14	5.91	5.91	21.81	21.81	21531	987	17.18	435	74	2.44	51.34	24.80	37.73	0
W44x224	10	43.310	11.811	0.787	1.416	0.875	0.000	0	0	0	66.0	224.3	130.79	5.91	5.91	21.66	21.66	19296	891	17.10	391	66	2.43	37.61	22.30	34.08	0
W44x198	10	42.910	11.811	0.709	1.220	0.875	0.000	0	0	0	58.2	197.8	130.14	5.91	5.91	21.46	21.46	16706	779	16.95	336	57	2.40	24.84	19.21	30.42	0
W40x328	10	40.000	17.910	0.910	1.730	1.375	0.000	0	0	0	96.8	329.3	147.46	8.96	8.96	20.00	20.00	26929	1346	16.68	1660	185	4.14	92.30	41.31	36.40	0
W40x298	10	39.690	17.830	0.830	1.575	1.438	0.000	0	0	0	88.3	300.1	146.57	8.92	8.92	19.85	19.85	24356	1227	16.61	1491	167	4.11	69.43	37.44	32.94	0
W40x268	10	39.370	17.750	0.750	1.415	1.375	0.000	0	0	0	79.3	269.5	145.88	8.88	8.88	19.69	19.69	21672	1101	16.54	1321	149	4.08	50.26	33.49	29.53	0
W40x244	10	39.060	17.710	0.710	1.260	1.375	0.000	0	0	0	72.2	245.5	145.18	8.86	8.86	19.53	19.53	19358	991	16.37	1168	132	4.02	36.37	29.75	27.73	0
W40x221	10	38.670	17.710	0.710	1.065	1.375	0.000	0	0	0	65.3	222.0	144.40	8.86	8.86	19.34	19.34	16750	866	16.02	988	112	3.89	24.21	25.15	27.46	0
W40x192	10	38.200	17.710	0.710	0.830	1.375	0.000	0	0	0	57.0	193.7	143.46	8.86	8.86	19.10	19.10	13676	716	15.49	770	87	3.68	14.44	19.60	27.12	0
W40x655	10	43.620	16.870	1.970	3.540	1.375	0.000	0	0	0	193.0	656.4	148.42	8.44	8.44	21.81	21.81	56625	2596	17.13	2859	339	3.85	769.66	79.63	85.93	0
W40x593	10	42.990	16.690	1.790	3.230	1.375	0.000	0	0	0	174.8	594.4	146.80	8.35	8.35	21.50	21.50	50500	2349	17.00	2523	302	3.80	578.22	71.88	76.95	0
W40x531	10	42.340	16.510	1.610	2.910	1.375	0.000	0	0	0	156.5	532.1	145.14	8.26	8.26	21.17	21.17	44474	2101	16.86	2197	266	3.75	418.64	64.06	68.17	0
W40x480	10	41.810	16.360	1.460	2.640	1.375	0.000	0	0	0	141.3	480.5	143.78	8.18	8.18	20.91	20.91	39638	1896	16.75	1938	237	3.70	310.15	57.59	61.04	0
W40x436	10	41.340	16.240	1.340	2.400	1.438	0.000	0	0	0	128.7	437.5	142.49	8.12	8.12	20.67	20.67	35607	1723	16.63	1722	212	3.66	232.67	51.97	55.40	0
W40x397	10	40.950	16.120	1.220	2.200	1.438	0.000	0	0	0	117.3	398.8	141.47	8.06	8.06	20.48	20.48	32190	1572	16.57	1543	191	3.63	177.52	47.29	49.96	0
W40x362	10	40.550	16.020	1.120	2.010	1.375	0.000	0	0	0	106.9	363.6	140.58	8.01	8.01	20.28	20.28	29009	1431	16.47	1383	173	3.60	134.99	42.93	45.42	0
W40x324	10	40.160	15.905	1.000	1.810	1.375	0.000	0	0	0	95.7	325.5	139.58	7.95	7.95	20.08	20.08	25775	1284	16.41	1218	153	3.57	97.57	38.38	40.16	0
W40x297	10	39.840	15.825	0.930	1.650	1.438	0.000	0	0	0	88.0	299.1	138.65	7.91	7.91	19.92	19.92	23406	1175	16.31	1094	138	3.53	74.35	34.82	37.05	0
W40x277	10	39.690	15.830	0.830	1.575	1.438	0.000	0	0	0	82.0	278.7	138.57	7.92	7.92	19.85	19.85	22067	1112	16.41	1044	132	3.57	62.65	33.24	32.94	0
W40x249	10	39.380	15.750	0.750	1.420	1.375	0.000	0	0	0	73.8	250.8	137.90	7.88	7.88	19.69	19.69	19694	1000	16.34	927	118	3.54	45.76	29.82	29.54	0
W40x215	10	38.980	15.750	0.650	1.220	1.375	0.000	0	0	0	63.8	216.9	137.30	7.88	7.88	19.49	19.49	16870	866	16.26	796	101	3.53	29.13	25.62	25.34	0
W40x199	10	38.670	15.750	0.650	1.065	1.375	0.000	0	0	0	58.9	200.3	136.68	7.88	7.88	19.34	19.34	15030	777	15.97	695	88	3.43	20.84	22.37	25.14	0
W40x183	10	38.980	11.810	0.650	1.220	1.375	0.000	0	0	0	54.2	184.2	121.54	5.91	5.91	19.49	19.49	13442	690	15.75	337	57	2.49	22.93	19.21	25.34	0
W40x167	10	38.590	11.810	0.650	1.025	1.438	0.000	0	0	0	49.7	169.1	120.65	5.91	5.91	19.30	19.30	11757	609	15.38	283	48	2.39	15.37	16.14	25.08	0
W40x149	10	38.200	11.810	0.630	0.830	1.438	0.000	0	0	0	44.4	151.0	119.91	5.91	5.91	19.10	19.10	9979	522	14.99	229	39	2.27	9.81	13.07	24.07	0
W36x848	10	42.450	18.130	2.520	4.530	1.188	0.000	0	0	0	249.6	848.7	150.34	9.07	9.07	21.23	21.23	67473	3179	16.44	4547	502	4.27	1692.19	109.51	106.97	0
