PartNumber	PartName	D(mm)	Bf(mm)
OBLONG 100x50	OBLONG_100x50	100	50
OBLONG 200x100	OBLONG_200x100	200	100
OBLONG 300x150	OBLONG_300x150	300	150
OBLONG 400x200	OBLONG_400x200	400	200
OBLONG 500x250	OBLONG_500x250	500	250
OBLONG 600x300	OBLONG_600x300	600	300
OBLONG 700x350	OBLONG_700x350	700	350
OBLONG 800x400	OBLONG_800x400	800	400
OBLONG 900x450	OBLONG_900x450	900	450
OBLONG 1000x500	OBLONG_1000x500	1000	500
OBLONG 1100x500	OBLONG_1100x500	1100	500
OBLONG 1200x500	OBLONG_1200x500	1200	500
OBLONG 1300x500	OBLONG_1300x500	1300	500
OBLONG 1400x500	OBLONG_1400x500	1400	500
OBLONG 1500x500	OBLONG_1500x500	1500	500
OBLONG 1600x500	OBLONG_1600x500	1600	500
OBLONG 1700x500	OBLONG_1700x500	1700	500
OBLONG 1800x500	OBLONG_1800x500	1800	500
OBLONG 1900x500	OBLONG_1900x500	1900	500
OBLONG 2000x1000	OBLONG_2000x1000	2000	1000
OBLONG 2100x1000	OBLONG_2100x1000	2100	1000
OBLONG 2200x1000	OBLONG_2200x1000	2200	1000
OBLONG 2300x1000	OBLONG_2300x1000	2300	1000
OBLONG 2400x1000	OBLONG_2400x1000	2400	1000
OBLONG 2500x1000	OBLONG_2500x1000	2500	1000
OBLONG 2600x1000	OBLONG_2600x1000	2600	1000
OBLONG 2700x1000	OBLONG_2700x1000	2700	1000
OBLONG 2800x1000	OBLONG_2800x1000	2800	1000
OBLONG 2900x1000	OBLONG_2900x1000	2900	1000
