PartNumber	H (mm)	W (mm)
OBLONG_100x50	100	50
OBLONG_200x100	200	100
OBLONG_300x150	300	150
OBLONG_400x200	400	200
OBLONG_500x250	500	250
OBLONG_600x300	600	300
OBLONG_700x350	700	350
OBLONG_800x400	800	400
OBLONG_900x450	900	450
OBLONG_1000x500	1000	500
OBLONG_1100x500	1100	500
OBLONG_1200x500	1200	500
OBLONG_1300x500	1300	500
OBLONG_1400x500	1400	500
OBLONG_1500x500	1500	500
OBLONG_1600x500	1600	500
OBLONG_1700x500	1700	500
OBLONG_1800x500	1800	500
OBLONG_1900x500	1900	500
OBLONG_2000x1000	2000	1000
OBLONG_2100x1000	2100	1000
OBLONG_2200x1000	2200	1000
OBLONG_2300x1000	2300	1000
OBLONG_2400x1000	2400	1000
OBLONG_2500x1000	2500	1000
OBLONG_2600x1000	2600	1000
OBLONG_2700x1000	2700	1000
OBLONG_2800x1000	2800	1000
OBLONG_2900x1000	2900	1000
