PartNumber	PartName	D(mm)	Bf(mm)	R1(mm)
RECTANGULAR 100x50x10	RECTANGULAR_100x50x10	100	50	10
RECTANGULAR 200x100x20	RECTANGULAR_200x100x20	200	100	20
RECTANGULAR 300x150x30	RECTANGULAR_300x150x30	300	150	30
RECTANGULAR 400x200x40	RECTANGULAR_400x200x40	400	200	40
RECTANGULAR 500x250x50	RECTANGULAR_500x250x50	500	250	50
RECTANGULAR 600x300x60	RECTANGULAR_600x300x60	600	300	60
RECTANGULAR 700x350x70	RECTANGULAR_700x350x70	700	350	70
RECTANGULAR 800x400x80	RECTANGULAR_800x400x80	800	400	80
RECTANGULAR 900x450x90	RECTANGULAR_900x450x90	900	450	90
RECTANGULAR 1000x500x100	RECTANGULAR_1000x500x100	1000	500	100
RECTANGULAR 1100x550x110	RECTANGULAR_1100x550x110	1100	550	110
RECTANGULAR 1200x600x120	RECTANGULAR_1200x600x120	1200	600	120
RECTANGULAR 1300x650x130	RECTANGULAR_1300x650x130	1300	650	130
RECTANGULAR 1400x700x140	RECTANGULAR_1400x700x140	1400	700	140
RECTANGULAR 1500x800x150	RECTANGULAR_1500x800x150	1500	800	150
RECTANGULAR 1600x800x160	RECTANGULAR_1600x800x160	1600	800	160
RECTANGULAR 1700x800x170	RECTANGULAR_1700x800x170	1700	800	170
RECTANGULAR 1800x800x180	RECTANGULAR_1800x800x180	1800	800	180
RECTANGULAR 1900x800x190	RECTANGULAR_1900x800x190	1900	800	190
RECTANGULAR 2000x1000x200	RECTANGULAR_2000x1000x200	2000	1000	200
RECTANGULAR 2100x1000x210	RECTANGULAR_2100x1000x210	2100	1000	210
RECTANGULAR 2200x1000x220	RECTANGULAR_2200x1000x220	2200	1000	220
RECTANGULAR 2300x1000x230	RECTANGULAR_2300x1000x230	2300	1000	230
RECTANGULAR 2400x1000x240	RECTANGULAR_2400x1000x240	2400	1000	240
RECTANGULAR 2500x1000x250	RECTANGULAR_2500x1000x250	2500	1000	250
RECTANGULAR 2600x1000x260	RECTANGULAR_2600x1000x260	2600	1000	260
RECTANGULAR 2700x1000x270	RECTANGULAR_2700x1000x270	2700	1000	270
RECTANGULAR 2800x1000x280	RECTANGULAR_2800x1000x280	2800	1000	280
RECTANGULAR 2900x1000x290	RECTANGULAR_2900x1000x290	2900	1000	290
