PartNumber	PartName	D(mm)	RAY(mm)
ROUND 100	ROUND_100	100	50
ROUND 200	ROUND_200	200	100
ROUND 300	ROUND_300	300	150
ROUND 400	ROUND_400	400	200
ROUND 500	ROUND_500	500	250
ROUND 600	ROUND_600	600	300
ROUND 700	ROUND_700	700	350
ROUND 800	ROUND_800	800	400
ROUND 900	ROUND_900	900	450
ROUND 1000	ROUND_1000	1000	500
ROUND 1100	ROUND_1100	1100	550
ROUND 1200	ROUND_1200	1200	600
ROUND 1300	ROUND_1300	1300	650
ROUND 1400	ROUND_1400	1400	700
ROUND 1500	ROUND_1500	1500	750
ROUND 1600	ROUND_1600	1600	800
ROUND 1700	ROUND_1700	1700	850
ROUND 1800	ROUND_1800	1800	900
ROUND 1900	ROUND_1900	1900	950
ROUND 2000	ROUND_2000	2000	1000
ROUND 2100	ROUND_2100	2100	1050
ROUND 2200	ROUND_2200	2200	1100
ROUND 2300	ROUND_2300	2300	1150
ROUND 2400	ROUND_2400	2400	1200
ROUND 2500	ROUND_2500	2500	1250
ROUND 2600	ROUND_2600	2600	1300
ROUND 2700	ROUND_2700	2700	1350
ROUND 2800	ROUND_2800	2800	1400
ROUND 2900	ROUND_2900	2900	1450
