PartNumber	W (mm)	H (mm)	CR (mm)
RECTANGULAR_100x50x10	100	50	10
RECTANGULAR_200x100x20	200	100	20
RECTANGULAR_300x150x30	300	150	30
RECTANGULAR_400x200x40	400	200	40
RECTANGULAR_500x250x50	500	250	50
RECTANGULAR_600x300x60	600	300	60
RECTANGULAR_700x350x70	700	350	70
RECTANGULAR_800x400x80	800	400	80
RECTANGULAR_900x450x90	900	450	90
RECTANGULAR_1000x500x100	1000	500	100
RECTANGULAR_1100x550x110	1100	550	110
RECTANGULAR_1200x600x120	1200	600	120
RECTANGULAR_1300x650x130	1300	650	130
RECTANGULAR_1400x700x140	1400	700	140
RECTANGULAR_1500x800x150	1500	800	150
RECTANGULAR_1600x800x160	1600	800	160
RECTANGULAR_1700x800x170	1700	800	170
RECTANGULAR_1800x800x180	1800	800	180
RECTANGULAR_1900x800x190	1900	800	190
RECTANGULAR_2000x1000x200	2000	1000	200
RECTANGULAR_2100x1000x210	2100	1000	210
RECTANGULAR_2200x1000x220	2200	1000	220
RECTANGULAR_2300x1000x230	2300	1000	230
RECTANGULAR_2400x1000x240	2400	1000	240
RECTANGULAR_2500x1000x250	2500	1000	250
RECTANGULAR_2600x1000x260	2600	1000	260
RECTANGULAR_2700x1000x270	2700	1000	270
RECTANGULAR_2800x1000x280	2800	1000	280
RECTANGULAR_2900x1000x290	2900	1000	290
