PartNumber	W (mm)	CR (mm)
SQUARE_100x10	100	10
SQUARE_200x20	200	20
SQUARE_300x30	300	30
SQUARE_400x40	400	40
SQUARE_500x50	500	50
SQUARE_600x60	600	60
SQUARE_700x70	700	70
SQUARE_800x80	800	80
SQUARE_900x90	900	90
SQUARE_1000x100	1000	100
SQUARE_1100x110	1100	110
SQUARE_1200x120	1200	120
SQUARE_1300x130	1300	130
SQUARE_1400x140	1400	140
SQUARE_1500x150	1500	150
SQUARE_1600x160	1600	160
SQUARE_1700x170	1700	170
SQUARE_1800x180	1800	180
SQUARE_1900x190	1900	190
SQUARE_2000x200	2000	200
SQUARE_2100x210	2100	210
SQUARE_2200x220	2200	220
SQUARE_2300x230	2300	230
SQUARE_2400x240	2400	240
SQUARE_2500x250	2500	250
SQUARE_2600x260	2600	260
SQUARE_2700x270	2700	270
SQUARE_2800x280	2800	280
SQUARE_2900x290	2900	290
