PartType1	Standard1	EndStyle1	PartType2	Standard2	EndStyle2	AutomaticPartType
Not-TubingNut	SSTL	THREADED MALE FLARED	TubingStraightTube	SSTL	FLARED TUBE	TubingNut
Not-TubingNut	SSTL	THREADED MALE FLARED	TubingBendableTube	SSTL	FLARED TUBE	TubingNut
Not-TubingNut	SSTL	THREADED MALE FLARED	TubingNut	SSTL	SINGLE FLARED/B-NUT	TubingBNutSleeve
TubingUnion	SSTL	THREADED MALE FLARED	TubingStraightTube	SSTL	FLARED TUBE	TubingNut
TubingUnion	SSTL	THREADED MALE FLARED	TubingNut	SSTL	SINGLE FLARED/B-NUT	TubingBNutSleeve
Not-TubingGasket	SSTL	SEMI-FLEX THREADLESS WELDED	Not-TubingGasket	SSTL	SEMI-FLEX THREADLESS WELDED	TubingGasket
Not-TubingGasket	SSTL	SEMI-FLEX THREADLESS SWAGED	Not-TubingGasket	SSTL	SEMI-FLEX THREADLESS SWAGED	TubingGasket
All	SSTL	FLEX THREADLESS WELDED	Not-TubingGasket	SSTL	SEMI-FLEX THREADLESS WELDED	TubingRing
All	SSTL	FLEX THREADLESS WELDED	Not-TubingGasket	SSTL	SEMI-FLEX THREADLESS SWAGED	TubingRing
All	SSTL	FERRULE WELDED	Not-TubingGasket	SSTL	SEMI-FLEX THREADLESS WELDED	TubingRing
All	SSTL	FERRULE WELDED	Not-TubingGasket	SSTL	SEMI-FLEX THREADLESS SWAGED	TubingRing
All	SSTL	FERRULE FLEXIBLE COUPLING	Not-TubingGasket	SSTL	SEMI-FLEX THREADLESS WELDED	TubingRing
All	SSTL	FERRULE FLEXIBLE COUPLING	Not-TubingGasket	SSTL	SEMI-FLEX THREADLESS SWAGED	TubingRing
Not-TubingUnion	SSTL	THREADED FEMALE	TubingStraightTube	SSTL	FLARED TUBE	TubingUnion
Not-TubingUnion	SSTL	THREADED FEMALE	TubingBendableTube	SSTL	FLARED TUBE	TubingUnion
Not-TubingNut	SSTLMM	THREADED MALE FLARED	TubingStraightTube	SSTLMM	FLARED TUBE	TubingNut
Not-TubingNut	SSTLMM	THREADED MALE FLARED	TubingBendableTube	SSTLMM	FLARED TUBE	TubingNut
Not-TubingNut	SSTLMM	THREADED MALE FLARED	TubingNut	SSTLMM	SINGLE FLARED/B-NUT	TubingBNutSleeve
TubingUnion	SSTLMM	THREADED MALE FLARED	TubingStraightTube	SSTLMM	FLARED TUBE	TubingNut
TubingUnion	SSTLMM	THREADED MALE FLARED	TubingNut	SSTLMM	SINGLE FLARED/B-NUT	TubingBNutSleeve
Not-TubingGasket	SSTLMM	SEMI-FLEX THREADLESS WELDED	Not-TubingGasket	SSTLMM	SEMI-FLEX THREADLESS WELDED	TubingGasket
Not-TubingGasket	SSTLMM	SEMI-FLEX THREADLESS SWAGED	Not-TubingGasket	SSTLMM	SEMI-FLEX THREADLESS SWAGED	TubingGasket
All	SSTLMM	FLEX THREADLESS WELDED	Not-TubingGasket	SSTLMM	SEMI-FLEX THREADLESS WELDED	TubingRing
All	SSTLMM	FLEX THREADLESS WELDED	Not-TubingGasket	SSTLMM	SEMI-FLEX THREADLESS SWAGED	TubingRing
All	SSTLMM	FERRULE WELDED	Not-TubingGasket	SSTLMM	SEMI-FLEX THREADLESS WELDED	TubingRing
All	SSTLMM	FERRULE WELDED	Not-TubingGasket	SSTLMM	SEMI-FLEX THREADLESS SWAGED	TubingRing
All	SSTLMM	FERRULE FLEXIBLE COUPLING	Not-TubingGasket	SSTLMM	SEMI-FLEX THREADLESS WELDED	TubingRing
All	SSTLMM	FERRULE FLEXIBLE COUPLING	Not-TubingGasket	SSTLMM	SEMI-FLEX THREADLESS SWAGED	TubingRing
Not-TubingUnion	SSTLMM	THREADED FEMALE	TubingStraightTube	SSTLMM	FLARED TUBE	TubingUnion
Not-TubingUnion	SSTLMM	THREADED FEMALE	TubingBendableTube	SSTLMM	FLARED TUBE	TubingUnion
