AttributeName1	Standard1	AttributeValue1	AttributeName2	Standard2	AttributeValue2
EndStyle	SSTL	THREADED MALE FLARED	EndStyle	SSTL	SINGLE FLARED/B-NUT
EndStyle	SSTL	SINGLE FLARED/B-NUT	EndStyle	SSTL	FLARED TUBE
EndStyle	SSTL	SINGLE FLARED/B-NUT	EndStyle	SSTL	SINGLE FLARED/B-NUT
EndStyle	SSTL	THREADED MALE FLARED	EndStyle	SSTL	THREADED FEMALE SWIVEL
EndStyle	SSTL	THREADED MALE FLARED	EndStyle	SSTL	THREADED FEMALE
NominalSize	SSTL	=	NominalSize	SSTL	=
EndStyle	SSTL	STRAIGHT	EndStyle	SSTL	STRAIGHT
EndStyle	SSTL	STRAIGHT	EndStyle	SSTL	STRAIGHT
EndStyle	SSTL	CHAMFER FLARELESS	EndStyle	SSTL	CHAMFER FLARELESS
EndStyle	SSTL	CHAMFER FLARELESSI	EndStyle	SSTL	CHAMFER FLARELESSI
EndStyle	SSTL	CHAMFER FLARELESSI	EndStyle	SSTL	TUBE BEADED END
EndStyle	SSTL	CHAMFER FLARELESSV	EndStyle	SSTL	CHAMFER FLARELESSV
EndStyle	SSTL	CHAMFER FLARELESSV	EndStyle	SSTL	HOSE CONNECTION
EndStyle	SSTL	CHAMFER FLARELESSV-W	EndStyle	SSTL	CHAMFER FLARELESSV-W
EndStyle	SSTL	CHAMFER FLARELESSV-W	EndStyle	SSTL	EXTERNAL SWAGE
EndStyle	SSTL	FLARED	EndStyle	SSTL	FLARED
EndStyle	SSTL	FLAREDI	EndStyle	SSTL	FLAREDI
EndStyle	SSTL	RADIUS FLARE	EndStyle	SSTL	RADIUS FLARE
EndStyle	SSTL	WELDING HYDRAULIC	EndStyle	SSTL	WELDING HYDRAULIC
EndStyle	SSTL	WELDING HYDRAULIC	EndStyle	SSTL	WELDED AS SPEC
EndStyle	SSTL	WELDING HYDRAULICI	EndStyle	SSTL	WELDING HYDRAULICI
EndStyle	SSTL	WELDING HYDRAULICI	EndStyle	SSTL	WELDED BAC SPEC
EndStyle	SSTL	FLARELESS FEMALE/B-NUT SWAGED	EndStyle	SSTL	FERRULE SWIVELMS
EndStyle	SSTL	FLARELESS FEMALE/B-NUT SWAGED	EndStyle	SSTL	FERRULE SWIVELMW
EndStyle	SSTL	FLARELESS FEMALE/B-NUT SWAGED	EndStyle	SSTL	FLARELESS MALE
EndStyle	SSTL	FERRULE SWIVELFW	EndStyle	SSTL	FERRULE SWIVELMS
EndStyle	SSTL	FERRULE SWIVELFW	EndStyle	SSTL	FERRULE SWIVELMW
EndStyle	SSTL	FERRULE SWIVELFW	EndStyle	SSTL	FLARELESS MALE
EndStyle	SSTL	FERRULE SWIVELMS	EndStyle	SSTL	FLARELESS FEMALE/B-NUT SWAGED
EndStyle	SSTL	FERRULE SWIVELMS	EndStyle	SSTL	FERRULE SWIVELFW
EndStyle	SSTL	FERRULE SWIVELMS	EndStyle	SSTL	FLARELESS SWIVEL
EndStyle	SSTL	FERRULE SWIVELMW	EndStyle	SSTL	FLARELESS FEMALE/B-NUT SWAGED
EndStyle	SSTL	FERRULE SWIVELMW	EndStyle	SSTL	FERRULE SWIVELFW
EndStyle	SSTL	FERRULE SWIVELMW	EndStyle	SSTL	FLARELESS SWIVEL
EndStyle	SSTL	FERRULE FLEXIBLE COUPLING	EndStyle	SSTL	FLEXIBLE COUPLING
EndStyle	SSTL	FERRULE RIGID COUPLING	EndStyle	SSTL	RIGID COUPLING TYPE I
EndStyle	SSTL	FERRULE RIGID COUPLING	EndStyle	SSTL	RIGID COUPLING TYPE II
EndStyle	SSTL	FERRULE RIGID COUPLING	EndStyle	SSTL	RIGID
EndStyle	SSTL	RIGID COUPLING TYPE I	EndStyle	SSTL	FERRULE RIGID COUPLING
EndStyle	SSTL	RIGID COUPLING TYPE I	EndStyle	SSTL	RIGIDI
EndStyle	SSTL	RIGID COUPLING TYPE II	EndStyle	SSTL	FERRULE RIGID COUPLING
EndStyle	SSTL	RIGID COUPLING TYPE II	EndStyle	SSTL	RIGIDII
EndStyle	SSTL	SINGLE FLARED/B-NUT	EndStyle	SSTL	FLARED MALE
EndStyle	SSTL	SINGLE FLARED/B-NUT	EndStyle	SSTL	FLARED MALEO
EndStyle	SSTL	DBLE FLARED/B-NUT	EndStyle	SSTL	FLARED MALE
EndStyle	SSTL	DBLE FLARED/B-NUT	EndStyle	SSTL	FLARED MALEO
EndStyle	SSTL	FLARELESS MALE	EndStyle	SSTL	FLARELESS FEMALE/B-NUT SWAGED
EndStyle	SSTL	FLARELESS MALE	EndStyle	SSTL	FERRULE SWIVELFW
EndStyle	SSTL	FLARELESS MALE	EndStyle	SSTL	FLARELESS SWIVEL
EndStyle	SSTL	FLARELESS MALE	EndStyle	SSTL	BOSS BAC SPEC
EndStyle	SSTL	FLARELESS MALE	EndStyle	SSTL	BOSS MS FEMALE
EndStyle	SSTL	FLARELESS MALE	EndStyle	SSTL	HOSE FLARELESS SWIVEL
EndStyle	SSTL	FLARELESS MALE	EndStyle	SSTL	FERRULE SWIVEL
EndStyle	SSTL	FLARELESS MALE	EndStyle	SSTL	FERRULE WELDED
EndStyle	SSTL	FLARELESS MALE	EndStyle	SSTL	WELDED MALE
EndStyle	SSTL	FLARED MALE	EndStyle	SSTL	SINGLE FLARED/B-NUT
EndStyle	SSTL	FLARED MALE	EndStyle	SSTL	DBLE FLARED/B-NUT
EndStyle	SSTL	FLARED MALE	EndStyle	SSTL	BOSS MS FEMALE
EndStyle	SSTL	FLARED MALEO	EndStyle	SSTL	SINGLE FLARED/B-NUT
EndStyle	SSTL	FLARED MALEO	EndStyle	SSTL	DBLE FLARED/B-NUT
EndStyle	SSTL	FLARED MALEO	EndStyle	SSTL	BOSS MS FEMALE
EndStyle	SSTL	FLARELESS SWIVEL	EndStyle	SSTL	FERRULE SWIVELMS
EndStyle	SSTL	FLARELESS SWIVEL	EndStyle	SSTL	FERRULE SWIVELMW
EndStyle	SSTL	FLARELESS SWIVEL	EndStyle	SSTL	FLARELESS MALE
EndStyle	SSTL	WELDED AS SPEC	EndStyle	SSTL	WELDING HYDRAULIC
EndStyle	SSTL	WELDED BAC SPEC	EndStyle	SSTL	WELDING HYDRAULICI
EndStyle	SSTL	BAC MALE	EndStyle	SSTL	WELDING HYDRAULICI
EndStyle	SSTL	FLEXIBLE COUPLING	EndStyle	SSTL	FERRULE FLEXIBLE COUPLING
EndStyle	SSTL	EXTERNAL SWAGE	EndStyle	SSTL	CHAMFER FLARELESSV-W
EndStyle	SSTL	EXTERNAL SWAGE	EndStyle	SSTL	EQUIPMENT BLANK TUBE
EndStyle	SSTL	HOSE CONNECTION	EndStyle	SSTL	HOSE BARE CUT END
EndStyle	SSTL	BOSS BAC SPEC	EndStyle	SSTL	FLARELESS MALE
EndStyle	SSTL	BOSS BAC SPEC	EndStyle	SSTL	BAC MALE
EndStyle	SSTL	BOSS MS FEMALE	EndStyle	SSTL	FLARELESS MALE
EndStyle	SSTL	BOSS MS FEMALE	EndStyle	SSTL	FLARED MALE
EndStyle	SSTL	BOSS MS FEMALE	EndStyle	SSTL	FLARED MALEO
