FunctionName	PhysicalPart
TubingTubeFunc	TubingBendableTube
TubingTubeFunc	TubingStraightTube
TubingTubeFunc	TubingFlexibleTube
TubingTubeFunc	TubingFlange
TubingTubeFunc	TubingUnion
TubingTubeFunc	TubingCoupling
TubingTubeFunc	TubingHalfCoupling
TubingTubeFunc	TubingNipple
TubingTubeFunc	TubingGasket
TubingTubeFunc	TubingNonReduceElbow
TubingTubeFunc	TubingReduceElbow
TubingTubeFunc	MldWeld
TubingTubeFunc	TubingNut
TubingTubeFunc	TubingBNutSleeve
TubingTubeFunc	TubingBushing
TubingTubeFunc	TubingUnionTube
TubingTubeFunc	TubingRing
TubingAdaptorFunc	TubingAdaptor
TubingBlockValveFunc	TubingCheckValve
TubingBlockValveFunc	TubingControlValve
TubingBlockValveFunc	TubingSafetyValve
TubingBranchFunc	TubingCross
TubingBranchFunc	TubingHalfCoupling
TubingBranchFunc	TubingTee
Branch_Connection	TubingCross
Branch_Connection	TubingHalfCoupling
Branch_Connection	TubingTee
TubingCheckValveFunc	TubingCheckValve
TubingContrlValveFunc	TubingControlValve
TubingIsolatValveFunc	TubingCheckValve
TubingIsolatValveFunc	TubingControlValve
TubingReducerFunc	TubingUnion
TubingReducerFunc	TubingAdaptor
TubingReducerFunc	TubingReduceElbow
TubingReliefValveFunc	TubingSafetyValve
TubingSafetyValveFunc	TubingSafetyValve
TubingTerminatorFunc	TubingCap
TubingTerminatorFunc	TubingPlug
TubingThrotValveFunc	TubingCheckValve
