MaterialCategory	NominalSize	Schedule	WallThickness	BendRadius(mm)	MinTangentLength(mm)	MinGripLength(mm)	MachineNumber
Stainless steel	4mm	STANDARD		10	25	22	Machine-1
Stainless steel	5mm	STANDARD		15	25	22	Machine-1
Stainless steel	6mm	STANDARD		15	25	24	Machine-1
Stainless steel	6mm	STANDARD		13	25	24	Machine-2
Stainless steel	8mm	STANDARD		16	25	25	Machine-1
Stainless steel	10mm	STANDARD		20	30	27	Machine-1
Stainless steel	12mm	STANDARD		25	40	30	Machine-1
Stainless steel	12mm	STANDARD		30	40	30	Machine-2
Stainless steel	14mm	STANDARD		40	40	30	Machine-1
Stainless steel	15mm	STANDARD		45	40	30	Machine-1
Stainless steel	16mm	STANDARD		30	50	33	Machine-1
Stainless steel	18mm	STANDARD		30	50	33	Machine-1
Stainless steel	20mm	STANDARD		40	60	37	Machine-1
Stainless steel	22mm	STANDARD		40	60	37	Machine-1
Stainless steel	25mm	STANDARD		50	80	45	Machine-1
Stainless steel	28mm	STANDARD		78	80	45	Machine-1
Stainless steel	30mm	STANDARD		64	100	50	Machine-1
Stainless steel	30mm	STANDARD		95	100	50	Machine-2
Stainless steel	35mm	STANDARD		75	115	60	Machine-1
Stainless steel	38mm	STANDARD		75	115	60	Machine-1
Stainless steel	42mm	STANDARD		80	120	60	Machine-1
Stainless steel	50mm	STANDARD		75	150	60	Machine-1
Stainless steel	50mm	STANDARD		100	150	60	Machine-2
Stainless steel	50mm	STANDARD		150	150	60	Machine-3
