NominalSize	Schedule	BendDiameter(mm)	OutsideDiameter(mm)	WallThickness(mm)
4mm		4	4	0.5
5mm		5	5	1
6mm		6	6	1
8mm		8	8	1
10mm		10	10	1
12mm		12	12	1
14mm		14	14	1
15mm		15	15	1
16mm		16	16	1
18mm		18	18	1
20mm		20	20	1.5
22mm		22	22	1
25mm		25	25	2
28mm		28	28	1.5
30mm		30	30	2
35mm		35	35	2
38mm		38	38	2
42mm		42	42	2
50mm		50	50	6
60mm		60	60	6
75mm		75	75	6
5mm	SCHEDULE 40	4.7752	4.7752	0.889
6mm	SCHEDULE 40	6.35	6.35	0.889
8mm	SCHEDULE 40	7.9502	7.9502	0.889
10mm	SCHEDULE 40	9.525	9.525	0.889
13mm	SCHEDULE 40	12.7	12.7	1.2446
16mm	SCHEDULE 40	15.875	15.875	1.651
20mm	SCHEDULE 40	19.05	19.05	1.651
25mm	SCHEDULE 40	25.4	25.4	1.651
32mm	SCHEDULE 40	31.75	31.75	1.651
38mm	SCHEDULE 40	38.1	38.1	1.651
50mm	SCHEDULE 40	50.8	50.8	1.651
5mm	SCHEDULE 80	4.7752	4.7752	0.889
6mm	SCHEDULE 80	6.35	6.35	0.889
8mm	SCHEDULE 80	7.9502	7.9502	0.889
10mm	SCHEDULE 80	9.525	9.525	1.2446
13mm	SCHEDULE 80	12.7	12.7	1.651
16mm	SCHEDULE 80	15.875	15.875	2.1082
20mm	SCHEDULE 80	19.05	19.05	2.413
25mm	SCHEDULE 80	25.4	25.4	3.048
32mm	SCHEDULE 80	31.75	31.75	3.048
5mm	EXTRA STRONG	4.7752	4.7752	0.889
6mm	EXTRA STRONG	6.35	6.35	0.889
8mm	EXTRA STRONG	7.9502	7.9502	1.2446
10mm	EXTRA STRONG	9.525	9.525	1.651
13mm	EXTRA STRONG	12.7	12.7	2.1082
16mm	EXTRA STRONG	15.875	15.875	2.413
20mm	EXTRA STRONG	19.05	19.05	3.048
25mm	EXTRA STRONG	25.4	25.4	3.048
32mm	EXTRA STRONG	31.75	31.75	3.048
