PartNumber	NominalSize	NominalSize2	OutsideDiameter	OutsideDiameter2	EndToEndLength	ConnectorOffsetPipeEnd	ThreadDiameterPipeEnd	ThreadDiameterFlareEnd	ThreadLengthFlareEnd	InsideDiameterPipeEnd	InsideDiameterFlareEnd	FlareAngle	FlareDiameterFlareEnd	FlareLengthFlareEnd	HexNutDiameter	HexNutThickness	Standard	
ADAPTOR-TM-TMFL-2-3S	1/8in	3/16in	0.125in	0.19in	1.14in	0.25in	0.25in	0.375in	0.2in	0.1in	0.12in	37deg	0.27in	0.15in	0.44in	0.4in	SSTL	
ADAPTOR-TM-TMFL-2-4S	1/8in	1/4in	0.125in	0.25in	1.22in	0.25in	0.25in	0.4375in	0.275in	0.1in	0.17in	37deg	0.35in	0.165in	0.5in	0.4in	SSTL	
ADAPTOR-TM-TMFL-2-5S	1/8in	5/16in	0.125in	0.31in	1.22in	0.25in	0.25in	0.5in	0.294in	0.1in	0.23in	37deg	0.41in	0.18in	0.62in	0.4in	SSTL	
ADAPTOR-TM-TMFL-2-6S	1/8in	3/8in	0.125in	0.38in	1.24in	0.25in	0.25in	0.5625in	0.319in	0.1in	0.3in	37deg	0.47in	0.191in	0.62in	0.4in	SSTL	
ADAPTOR-TM-TMFL-2-8S	1/8in	1/2in	0.125in	0.5in	1.34in	0.25in	0.25in	0.75in	0.375in	0.1in	0.4in	37deg	0.62in	0.225in	0.81in	0.4in	SSTL	
ADAPTOR-TM-TMFL-4-4S	1/4in	1/4in	0.25in	0.25in	1.42in	0.38in	0.4375in	0.4375in	0.275in	0.17in	0.17in	37deg	0.35in	0.165in	0.5in	0.4in	SSTL	
ADAPTOR-TM-TMFL-4-5S	1/4in	5/16in	0.25in	0.31in	1.42in	0.38in	0.4375in	0.5in	0.294in	0.17in	0.23in	37deg	0.41in	0.18in	0.62in	0.4in	SSTL	
ADAPTOR-TM-TMFL-4-6S	1/4in	3/8in	0.25in	0.38in	1.43in	0.38in	0.4375in	0.5625in	0.319in	0.17in	0.3in	37deg	0.47in	0.191in	0.62in	0.4in	SSTL	
ADAPTOR-TM-TMFL-4-8S	1/4in	1/2in	0.25in	0.5in	1.53in	0.38in	0.4375in	0.75in	0.375in	0.17in	0.4in	37deg	0.62in	0.225in	0.81in	0.4in	SSTL	
ADAPTOR-TM-TMFL-6-4S	3/8in	1/4in	0.375in	0.25in	1.42in	0.38in	0.5625in	0.4375in	0.275in	0.3in	0.17in	37deg	0.35in	0.165in	0.62in	0.4in	SSTL	
ADAPTOR-TM-TMFL-6-5S	3/8in	5/16in	0.375in	0.31in	1.42in	0.38in	0.5625in	0.5in	0.294in	0.3in	0.23in	37deg	0.41in	0.18in	0.62in	0.4in	SSTL	
