PartNumber	NominalSize	OutsideDiameter	Diameter_D7	Diameter_D7I	Diameter_D9	Length_I3	NutDiameter_S	ConnectorOffset	Standard	
PLUG-LW-FFSM-4S	1/4in	0.25in	0.472in	0.413in	0.236in	0.394in	0.551in	0.06in	SSTL	
PLUG-LW-FFSM-5S	5/16in	0.313in	0.551in	0.492in	0.315in	0.394in	0.748in	0.06in	SSTL	
PLUG-LW-FFSM-6S	3/8in	0.375in	0.63in	0.571in	0.394in	0.433in	0.748in	0.057in	SSTL	
PLUG-LW-FFSM-8S	1/2in	0.5in	0.709in	0.65in	0.482in	0.433in	0.866in	0.095in	SSTL	
PLUG-LW-FFSM-10S	5/8in	0.625in	0.866in	0.807in	0.591in	0.472in	1.063in	0.095in	SSTL	
PLUG-LW-FFSM-12S	3/4in	0.75in	1.024in	0.965in	0.709in	0.472in	1.063in	0.097in	SSTL	
PLUG-LW-FFSM-16S	1in	1in	1.181in	1.102in	0.866in	0.551in	1.26in	0.093in	SSTL	
PLUG-LW-FFSM-20S	1 1/4in	1.25in	1.417in	1.338in	1.102in	0.551in	1.614in	0.09in	SSTL	
PLUG-LW-FFSM-24S	1 1/2in	1.5in	1.772in	1.693in	1.378in	0.63in	1.969in	0.095in	SSTL	
PLUG-LW-FFSM-6mm	6mm	6mm	12mm	10mm	6mm	10mm	14mm	2mm	SSTLMM	
PLUG-LW-FFSM-8mm	8mm	8mm	14mm	12mm	8mm	10mm	19mm	2mm	SSTLMM	
PLUG-LW-FFSM-10mm	10mm	10mm	16mm	15mm	10mm	11mm	19mm	2mm	SSTLMM	
PLUG-LW-FFSM-12mm	12mm	12mm	18mm	17mm	12mm	11mm	22mm	2mm	SSTLMM	
PLUG-LW-FFSM-16mm	16mm	16mm	22mm	20mm	15mm	12mm	27mm	2mm	SSTLMM	
PLUG-LW-FFSM-20mm	20mm	20mm	26mm	25mm	18mm	12mm	27mm	2mm	SSTLMM	
PLUG-LW-FFSM-25mm	25mm	25mm	30mm	28mm	22mm	14mm	32mm	2mm	SSTLMM	
PLUG-LW-FFSM-30mm	30mm	30mm	36mm	34mm	28mm	14mm	41mm	2mm	SSTLMM	
PLUG-LW-FFSM-38mm	38mm	38mm	45mm	43mm	35mm	16mm	50mm	2mm	SSTLMM	
