PartNumber	NominalSize	OutsideDiameter	Standard
TUBE-FLEXIBLE-RUBBER-2S	1/8in	0.125in	SSTL
TUBE-FLEXIBLE-RUBBER-3S	3/16in	0.1875in	SSTL
TUBE-FLEXIBLE-RUBBER-4S	1/4in	0.25in	SSTL
TUBE-FLEXIBLE-RUBBER-5S	5/16in	0.3125in	SSTL
TUBE-FLEXIBLE-RUBBER-6S	3/8in	0.375in	SSTL
TUBE-FLEXIBLE-RUBBER-8S	1/2in	0.5in	SSTL
TUBE-FLEXIBLE-RUBBER-10S	5/8in	0.625in	SSTL
TUBE-FLEXIBLE-RUBBER-12S	3/4in	0.75in	SSTL
TUBE-FLEXIBLE-RUBBER-14S	7/8in	0.875in	SSTL
TUBE-FLEXIBLE-RUBBER-16S	1in	1in	SSTL
TUBE-FLEXIBLE-RUBBER-20S	1 1/4in	1.25in	SSTL
TUBE-FLEXIBLE-RUBBER-24S	1 1/2in	1.5in	SSTL
TUBE-FLEXIBLE-RUBBER-32S	2in	2in	SSTL
TUBE-FLEXIBLE-RUBBER-4mm	4mm	4mm	SSTLMM
TUBE-FLEXIBLE-RUBBER-5mm	5mm	5mm	SSTLMM
TUBE-FLEXIBLE-RUBBER-6mm	6mm	6mm	SSTLMM
TUBE-FLEXIBLE-RUBBER-8mm	8mm	8mm	SSTLMM
TUBE-FLEXIBLE-RUBBER-10mm	10mm	10mm	SSTLMM
TUBE-FLEXIBLE-RUBBER-12mm	12mm	12mm	SSTLMM
TUBE-FLEXIBLE-RUBBER-14mm	14mm	14mm	SSTLMM
TUBE-FLEXIBLE-RUBBER-15mm	15mm	15mm	SSTLMM
TUBE-FLEXIBLE-RUBBER-16mm	16mm	16mm	SSTLMM
TUBE-FLEXIBLE-RUBBER-18mm	18mm	18mm	SSTLMM
TUBE-FLEXIBLE-RUBBER-20mm	20mm	20mm	SSTLMM
TUBE-FLEXIBLE-RUBBER-22mm	22mm	22mm	SSTLMM
TUBE-FLEXIBLE-RUBBER-25mm	25mm	25mm	SSTLMM
TUBE-FLEXIBLE-RUBBER-28mm	28mm	28mm	SSTLMM
TUBE-FLEXIBLE-RUBBER-30mm	30mm	30mm	SSTLMM
TUBE-FLEXIBLE-RUBBER-35mm	35mm	35mm	SSTLMM
TUBE-FLEXIBLE-RUBBER-38mm	38mm	38mm	SSTLMM
TUBE-FLEXIBLE-RUBBER-42mm	42mm	42mm	SSTLMM
TUBE-FLEXIBLE-RUBBER-50mm	50mm	50mm	SSTLMM
TUBE-FLEXIBLE-RUBBER-60mm	60mm	60mm	SSTLMM
TUBE-FLEXIBLE-RUBBER-75mm	75mm	75mm	SSTLMM
