Shape	PartType1	Standard1	EndStyle1	PartType2	Standard2	EndStyle2	AutomaticPartType
Double Ridge	Not-WVGDblRidgeGasket	SME	Cover End	Not-WVGDblRidgeGasket	SME	Gasket End	WVGDblRidgeGasket
Double Ridge	Not-WVGDblRidgeGasket	SME	Cover End	Not-WVGDblRidgeGasket	SME	Cover End	WVGDblRdgGasketAdaptr
Double Ridge	Not-WVGDblRidgeGasket	SME	Gasket End	Not-WVGDblRidgeGasket	SME	Gasket End	WVGDblRdgCoverAdaptor
Double Ridge	All	SME	Gasket End	Not-WVGDblRidgeGasket	SME	Plain End	WVGDblRidgeCoverFlange
Double Ridge	All	SME	Cover End	Not-WVGDblRidgeGasket	SME	Plain End	WVGDblRidgeGasketFlange
Rectangular	Not-WVGRectGasket	SME	Cover End	Not-WVGRectGasket	SME	Gasket End	WVGRectGasket
Rectangular	Not-WVGRectGasket	SME	Cover End	Not-WVGRectGasket	SME	Cover End	WVGRectGasketAdaptor
Rectangular	Not-WVGRectGasket	SME	Gasket End	Not-WVGRectGasket	SME	Gasket End	WVGRectCoverAdaptor
Rectangular	All	SME	Gasket End	Not-WVGRectGasket	SME	Plain End	WVGRectCoverFlange
Rectangular	All	SME	Cover End	Not-WVGRectGasket	SME	Plain End	WVGRectGasketFlange
Round	Not-WVGRoundGasket	SME	Cover End	Not-WVGRoundGasket	SME	Gasket End	WVGRoundGasket
Round	Not-WVGRoundGasket	SME	Cover End	Not-WVGRoundGasket	SME	Cover End	WVGRoundGasketAdaptor
Round	Not-WVGRoundGasket	SME	Gasket End	Not-WVGRoundGasket	SME	Gasket End	WVGRoundCoverAdaptor
Round	All	SME	Gasket End	Not-WVGRoundGasket	SME	Plain End	WVGRoundCoverFlange
Round	All	SME	Cover End	Not-WVGRoundGasket	SME	Plain End	WVGRoundGasketFlange
