Function	PhysicalPart
WaveguideBranchFunc	WVGDblRdgTee
WaveguideBranchFunc	WVGDblRdgCross
Branch_Connection	WVGDblRdgTee
Branch_Connection	WVGDblRdgCross
WaveguideLineFunc	WVGDblRidgeStraight
WaveguideLineFunc	WVGDblRidgeBendable
WaveguideLineFunc	WVGDblRidgeFlexible
WaveguideLineFunc	WVGDblRdgEElbow
WaveguideLineFunc	WVGDblRdgHElbow
WaveguideLineFunc	WVGDblRdgOffset
WaveguideLineFunc	WVGDblRdgTwist
WaveguideLineFunc	WVGDblRdgCoupler
WaveguideLineFunc	WVGDblRdgJoint
WaveguideLineFunc	WVGDblRdgShort
WaveguideLineFunc	WVGDblRdgTermination
WaveguideLineFunc	WVGDblRdgPressAdaptor
WaveguideLineFunc	WVGDblRdgAttenuator
WaveguideLineFunc	WVGDblRdgPenetration
WaveguideLineFunc	WVGDblRdgCoverFlange
WaveguideLineFunc	WVGDblRdgGasketFlange
WaveguideLineFunc	WVGDblRdgToRound
WaveguideLineFunc	WVGDblRdgToRect
WaveguideLineFunc	WVGDblRdgToDblRidge
WaveguideFlexSection	WVGDblRdgTwist
WaveguideFilter	WVGDblRdgFilter

