Function	PhysicalPart
WaveguideBranchFunc	WVGRectTee
WaveguideBranchFunc	WVGRectCross
Branch_Connetion	WVGRectTee
BrancH_Connection	WVGRectCross
WaveguideLineFunc	WVGRectStraight
WaveguideLineFunc	WVGRectBendable
WaveguideLineFunc	WVGRectFlexible
WaveguideLineFunc	WVGRectEElbow
WaveguideLineFunc	WVGRectHElbow
WaveguideLineFunc	WVGRectOffset
WaveguideLineFunc	WVGRectTwist
WaveguideLineFunc	WVGRectCoupler
WaveguideLineFunc	WVGRectJoint
WaveguideLineFunc	WVGRectShort
WaveguideLineFunc	WVGRectTermination
WaveguideLineFunc	WVGRectPressAdaptor
WaveguideLineFunc	WVGRectAttenuator
WaveguideLineFunc	WVGRectPenetration
WaveguideLineFunc	WVGRectCoverFlange
WaveguideLineFunc	WVGRectGasketFlange
WaveguideLineFunc	WVGRectToRound
WaveguideLineFunc	WVGRectToRectangular
WaveguideLineFunc	WVGRectToDoubleRidge
WaveguideFlexSection	WVGRectTwist
WaveguideFilter	WVGRectFilter

