Function	PhysicalPart
WaveguideBranchFunc	WVGRoundTee
WaveguideBranchFunc	WVGRoundCross
Branch_Connection	WVGRoundTee
Branch_Connection	WVGRoundCross
WaveguideLineFunc	WVGRoundStraight
WaveguideLineFunc	WVGRoundBendable
WaveguideLineFunc	WVGRoundFlexible
WaveguideLineFunc	WVGRoundEElbow
WaveguideLineFunc	WVGRoundHElbow
WaveguideLineFunc	WVGRoundOffset
WaveguideLineFunc	WVGRoundTwist
WaveguideLineFunc	WVGRoundCoupler
WaveguideLineFunc	WVGRoundJoint
WaveguideLineFunc	WVGRoundShort
WaveguideLineFunc	WVGRoundTermination
WaveguideLineFunc	WVGRoundPressAdaptor
WaveguideLineFunc	WVGRoundAttenuator
WaveguideLineFunc	WVGRoundPenetration
WaveguideLineFunc	WVGRoundCoverFlange
WaveguideLineFunc	WVGRoundGasketFlange
WaveguideLineFunc	WVGRoundToRound
WaveguideLineFunc	WVGRoundToRectangular
WaveguideLineFunc	WVGRoundToDoubleRidge
WaveguideFilter	WVGRoundFilter

