FunctionName	MinNominalSize	MaxNominalSize	PhysicalName
WaveguideLineFunc	WRD110	WRD750	WVGDblRidgeStraight
WaveguideLineFunc	WRD110	WRD750	WVGDblRidgeBendable
WaveguideLineFunc	WRD110	WRD750	WVGDblRidgeFlexible
WaveguideLineFunc	WRD110	WRD750	WVGDblRdgEElbow
WaveguideLineFunc	WRD110	WRD750	WVGDblRdgHElbow
WaveguideLineFunc	WRD110	WRD750	WVGDblRdgOffset
WaveguideLineFunc	WRD110	WRD750	WVGDblRdgTwist
WaveguideLineFunc	WRD110	WRD750	WVGDblRdgCoupler
WaveguideLineFunc	WRD110	WRD750	WVGDblRdgJoint
WaveguideLineFunc	WRD110	WRD750	WVGDblRdgShort
WaveguideLineFunc	WRD110	WRD750	WVGDblRdgTermination
WaveguideLineFunc	WRD110	WRD750	WVGDblRdgPressAdaptor
WaveguideLineFunc	WRD110	WRD750	WVGDblRdgAttenuator
WaveguideLineFunc	WRD110	WRD750	WVGDblRdgPenetration
WaveguideLineFunc	WRD110	WRD750	WVGDblRdgCoverFlange
WaveguideLineFunc	WRD110	WRD750	WVGDblRdgGasketFlange
WaveguideLineFunc	WRD110	WRD750	WVGDblRdgToRound
WaveguideLineFunc	WRD110	WRD750	WVGDblRdgToRect
WaveguideLineFunc	WRD110	WRD750	WVGDblRdgToDblRidge
WaveguideLineFunc	WRD110	WRD750	WVGDblRdgGasketAdaptr
WaveguideLineFunc	WRD110	WRD750	WVGDblRdgCoverAdaptor
WaveguideLineFunc	WRD110	WRD750	WVGDblRidgeGasket
