FunctionName	MinNominalSize	MaxNominalSize	PhysicalName
WaveguideLineFunc	WR28	WR650	WVGRectStraight
WaveguideLineFunc	WR28	WR650	WVGRectBendable
WaveguideLineFunc	WR28	WR650	WVGRectFlexible
WaveguideLineFunc	WR28	WR650	WVGRectEElbow
WaveguideLineFunc	WR28	WR650	WVGRectHElbow
WaveguideLineFunc	WR28	WR650	WVGRectOffset
WaveguideLineFunc	WR28	WR650	WVGRectTwist
WaveguideLineFunc	WR28	WR650	WVGRectCoupler
WaveguideLineFunc	WR28	WR650	WVGRectJoint
WaveguideLineFunc	WR28	WR650	WVGRectShort
WaveguideLineFunc	WR28	WR650	WVGRectTermination
WaveguideLineFunc	WR28	WR650	WVGRectPressAdaptor
WaveguideLineFunc	WR28	WR650	WVGRectAttenuator
WaveguideLineFunc	WR28	WR650	WVGRectPenetration
WaveguideLineFunc	WR28	WR650	WVGRectCoverFlange
WaveguideLineFunc	WR28	WR650	WVGRectGasketFlange
WaveguideLineFunc	WR28	WR650	WVGRectToRound
WaveguideLineFunc	WR28	WR650	WVGRectToRectangular
WaveguideLineFunc	WR28	WR650	WVGRectToDoubleRidge
WaveguideLineFunc	WR28	WR650	WVGRectGasketAdaptor
WaveguideLineFunc	WR28	WR650	WVGRectCoverAdaptor
WaveguideLineFunc	WR28	WR650	WVGRectGasket
