FunctionName	MinNominalSize	MaxNominalSize	PhysicalName
WaveguideLineFunc	WRN28	WRN650	WVGRoundStraight
WaveguideLineFunc	WRN28	WRN650	WVGRoundBendable
WaveguideLineFunc	WRN28	WRN650	WVGRoundFlexible
WaveguideLineFunc	WRN28	WRN650	WVGRoundEElbow
WaveguideLineFunc	WRN28	WRN650	WVGRoundHElbow
WaveguideLineFunc	WRN28	WRN650	WVGRoundOffset
WaveguideLineFunc	WRN28	WRN650	WVGRoundTwist
WaveguideLineFunc	WRN28	WRN650	WVGRoundCoupler
WaveguideLineFunc	WRN28	WRN650	WVGRoundJoint
WaveguideLineFunc	WRN28	WRN650	WVGRoundShort
WaveguideLineFunc	WRN28	WRN650	WVGRoundTermination
WaveguideLineFunc	WRN28	WRN650	WVGRoundPressAdaptor
WaveguideLineFunc	WRN28	WRN650	WVGRoundAttenuator
WaveguideLineFunc	WRN28	WRN650	WVGRoundPenetration
WaveguideLineFunc	WRN28	WRN650	WVGRoundCoverFlange
WaveguideLineFunc	WRN28	WRN650	WVGRoundGasketFlange
WaveguideLineFunc	WRN28	WRN650	WVGRoundToRound
WaveguideLineFunc	WRN28	WRN650	WVGRoundToRectangular
WaveguideLineFunc	WRN28	WRN650	WVGRoundToDoubleRidge
WaveguideLineFunc	WRN28	WRN650	WVGRoundGasketAdaptor
WaveguideLineFunc	WRN28	WRN650	WVGRoundCoverAdaptor
WaveguideLineFunc	WRN28	WRN650	WVGRoundGasket
