NominalSize	MinimumFrequency	MaximumFrequency	Width(in)	Height(in)	Diameter(in)	WallThickness(in)
WR28	26.5	40	0.36	0.22		0.04
WR34	22	33	0.42	0.25		0.04
WR42	18	26.5	0.5	0.25		0.04
WR51	15	22	0.59	0.335		0.04
WR62	12.4	18	0.702	0.391		0.04
WR75	10	15	0.85	0.475		0.05
WR90	8.2	12.4	1	0.5		0.05
WR102	7	11	1.148	0.638		0.064
WR112	7.05	10	1.25	0.625		0.064
WR137	5.58	8.2	1.5	0.75		0.064
WR159	4.9	7.05	1.718	0.923		0.064
WR187	3.95	5.85	2	1		0.064
WR229	3.3	4.9	2.418	1.273		0.064
WR284	2.6	3.95	3	1.5		0.08
WR430	2.2	3.3	4.46	2.31		0.08
WR650	1.12	1.7	6.66	3.41		0.08
WRD110	11	26.5	0.551	0.299		
WRD180	18	40	0.368	0.214		
WRD200	2	4.8				
WRD250	2.6	7.8	2	1		
WRD350	3.5	8.2	1.608	0.816		
WRD475	4.75	11	1.19	0.606		
WRD500	5	18	0.852	0.423		
WRD580	5.8	16	0.88	0.47		
WRD650	6.5	18	0.821	0.421		
WRD750	7.5	18	0.791	0.421		
