PartNumber	NominalSize	InsideWidth (in)	InsideHeight (in)	Width (in)	Height (in)	RidgeWidth (in)	RidgeToRidgeOffset (in)	FlangeOutsideWidth (in)	FlangeOutsideHeight (in)	FlangeChamfer (in)	FlangeThickness (in)	OverallLength (in)	FaceToCoaxLength (in)
RD_ADPTR-CE-WRD180	WRD180	0.288	0.134	0.368	0.214	0.072	0.057	0.88	0.88	0.075	0.19	1	0.75
RD_ADPTR-CE-WRD110	WRD110	0.471	0.219	0.551	0.299	0.118	0.093	1	1	0.075	0.19	1	0.75
RD_ADPTR-CE-WRD750	WRD750	0.691	0.321	0.791	0.421	0.173	0.136	1.38	1.38	0.12	0.25	1.28	0.75
RD_ADPTR-CE-WRD700	WRD700	0.686	0.31	0.786	0.41	0.173	0.105	1.38	1.38	0.12	0.25	1.28	0.75
RD_ADPTR-CE-WRD650	WRD650	0.72	0.321	0.82	0.421	0.173	0.101	1.38	1.38	0.12	0.25	1.95	1.43
RD_ADPTR-CE-WRD580	WRD580	0.78	0.37	0.88	0.47	0.2	0.12	1.38	1.38	0.12	0.25	1.28	0.75
RD_ADPTR-CE-WRD500	WRD500	0.752	0.323	0.852	0.423	0.188	0.063	1.69	1.25	0.25	0.25	1.95	1.43
RD_ADPTR-CE-WRD475	WRD475	1.09	0.506	1.19	0.606	0.272	0.215	1.97	1.39	0.25	0.25	1.8	1.31
RD_ADPTR-CE-WRD350	WRD350	1.48	0.688	1.608	0.816	0.37	0.292	2.75	2	0.25	0.25	1.63	1.13
RD_ADPTR-CE-WRD250	WRD250	1.655	0.715	2	1	0.44	0.15	3.19	2.44	0.31	0.31	2	1.4
RD_ADPTR-HP-CE-WRD750	WRD750	0.691	0.321	0.791	0.421	0.173	0.136	1.38	1.38	0.12	0.25	1.28	0.75
RD_ADPTR-HP-CE-WRD700	WRD700	0.686	0.31	0.786	0.41	0.173	0.105	1.38	1.38	0.12	0.25	1.28	0.75
RD_ADPTR-HP-CE-WRD650	WRD650	0.72	0.321	0.82	0.421	0.173	0.101	1.38	1.38	0.12	0.25	1.95	1.43
RD_ADPTR-HP-CE-WRD580	WRD580	0.78	0.37	0.88	0.47	0.2	0.12	1.38	1.38	0.12	0.25	1.28	0.75
RD_ADPTR-HP-CE-WRD500	WRD500	0.752	0.323	0.852	0.423	0.188	0.063	1.69	1.25	0.25	0.25	1.95	1.43
RD_ADPTR-HP-CE-WRD475	WRD475	1.09	0.506	1.19	0.606	0.272	0.215	1.97	1.39	0.25	0.25	1.8	1.31
RD_ADPTR-HP-CE-WRD350	WRD350	1.48	0.688	1.608	0.816	0.37	0.292	2.75	2	0.25	0.25	1.63	1.13
RD_ADPTR-HP-CE-WRD250	WRD250	1.655	0.715	2	1	0.44	0.15	3.19	2.44	0.31	0.31	2	1.4
