PartNumber	NominalSize	NominalSize2	InsideWidth (in)	InsideWidth2 (in)	InsideHeight (in)	InsideHeight2 (in)	Width (in)	Width2 (in)	Height (in)	Height2 (in)	RidgeWidth (in)	RidgeWidth2 (in)	RidgeToRidgeOffset (in)	RidgeToRidgeOffset2 (in)	FlangeOutsideWidth (in)	FlangeOutsideWidth2 (in)	FlangeOutsideHeight (in)	FlangeOutsideHeight2 (in)	FlangeThickness (in)	FlangeThickness2 (in)	FlangeChamfer (in)	FlangeChamfer2 (in)	FaceToFaceLength (in)	GasketWidth (in)	GasketHeight (in)	GasketCrossSectionWidth (in)	GasketThickness (in)
RD_TRANS_CEGE-WRD180-WRD110	WRD180	WRD110	0.288	0.471	0.134	0.219	0.368	0.551	0.214	0.299	0.072	0.118	0.057	0.093	0.88	1	0.88	1	0.19	0.19	0.075	0.075	4.5	0.558	0.306	0.074	0.048
RD_TRANS_CEGE-WRD750-WRD700	WRD750	WRD700	0.691	0.686	0.321	0.31	0.791	0.786	0.421	0.41	0.173	0.173	0.136	0.105	1.38	1.38	1.38	1.38	0.25	0.25	0.12	0.12	6	0.81	0.44	0.092	0.058
RD_TRANS_CEGE-WRD750-WRD650	WRD750	WRD650	0.691	0.72	0.321	0.321	0.791	0.82	0.421	0.421	0.173	0.173	0.136	0.101	1.38	1.38	1.38	1.38	0.25	0.25	0.12	0.12	6	0.81	0.44	0.094	0.058
RD_TRANS_CEGE-WRD750-WRD580	WRD750	WRD580	0.691	0.78	0.321	0.37	0.791	0.88	0.421	0.47	0.173	0.2	0.136	0.12	1.38	1.38	1.38	1.38	0.25	0.25	0.12	0.12	6	0.9	0.5	0.092	0.058
RD_TRANS_CEGE-WRD750-WRD500	WRD750	WRD500	0.691	0.752	0.321	0.323	0.791	0.852	0.421	0.423	0.173	0.188	0.136	0.063	1.38	1.69	1.38	1.25	0.25	0.25	0.12	0.25	6	0.872	0.443	0.094	0.056
RD_TRANS_CEGE-WRD700-WRD650	WRD700	WRD650	0.686	0.72	0.31	0.321	0.786	0.82	0.41	0.421	0.173	0.173	0.105	0.101	1.38	1.38	1.38	1.38	0.25	0.25	0.12	0.12	6	0.81	0.44	0.094	0.058
RD_TRANS_CEGE-WRD700-WRD580	WRD700	WRD580	0.686	0.78	0.31	0.37	0.786	0.88	0.41	0.47	0.173	0.2	0.105	0.12	1.38	1.38	1.38	1.38	0.25	0.25	0.12	0.12	6	0.9	0.5	0.092	0.058
RD_TRANS_CEGE-WRD700-WRD500	WRD700	WRD500	0.686	0.752	0.31	0.323	0.786	0.852	0.41	0.423	0.173	0.188	0.105	0.063	1.38	1.69	1.38	1.25	0.25	0.25	0.12	0.25	6	0.872	0.443	0.094	0.056
RD_TRANS_CEGE-WRD650-WRD580	WRD650	WRD580	0.72	0.78	0.321	0.37	0.82	0.88	0.421	0.47	0.173	0.2	0.101	0.12	1.38	1.38	1.38	1.38	0.25	0.25	0.12	0.12	6	0.9	0.5	0.092	0.058
RD_TRANS_CEGE-WRD650-WRD500	WRD650	WRD500	0.72	0.752	0.321	0.323	0.82	0.852	0.421	0.423	0.173	0.188	0.101	0.063	1.38	1.69	1.38	1.25	0.25	0.25	0.12	0.25	6	0.872	0.443	0.094	0.056
RD_TRANS_CEGE-WRD580-WRD500	WRD580	WRD500	0.78	0.752	0.37	0.323	0.88	0.852	0.47	0.423	0.2	0.188	0.12	0.063	1.38	1.69	1.38	1.25	0.25	0.25	0.12	0.25	6	0.872	0.443	0.094	0.056
RD_TRANS_CEGE-WRD580-WRD475	WRD580	WRD475	0.78	1.09	0.37	0.506	0.88	1.19	0.47	0.606	0.2	0.272	0.12	0.215	1.38	1.97	1.38	1.39	0.25	0.25	0.12	0.25	6	1.21	0.63	0.094	0.058
RD_TRANS_CEGE-WRD500-WRD475	WRD500	WRD475	0.752	1.09	0.323	0.506	0.852	1.19	0.423	0.606	0.188	0.272	0.063	0.215	1.69	1.97	1.25	1.39	0.25	0.25	0.25	0.25	6.5	1.21	0.63	0.094	0.058
RD_TRANS_CEGE-WRD350-WRD250	WRD350	WRD250	1.48	1.655	0.688	0.715	1.608	2	0.813	1	0.37	0.44	0.292	0.15	2.75	3.19	2	2.44	0.25	0.31	0.25	0.31	8	1.84	1.04	0.19	0.053
