PartNumber	NominalSize	Width (in)	Height (in)	FlangeOutsideWidth (in)	FlangeOutsideHeight (in)	FlangeChamfer (in)	FlangeThickness (in)	OverallLength (in)	FaceToCoaxLength (in)
R_ADPTR-CE-WR22	WR22	0.304	0.192	0.75	0.75	0.1	0.19	1.5	1.2
R_ADPTR-CE-WR28	WR28	0.36	0.22	0.75	0.75	0.1	0.19	1.5	1.2
R_ADPTR-CE-WR34	WR34	0.42	0.25	0.88	0.88	0.075	0.19	1.5	1.2
R_ADPTR-CE-WR42	WR42	0.5	0.25	0.88	0.88	0.075	0.19	1.5	1.2
R_ADPTR-CE-WR51	WR51	0.59	0.335	1.31	1.31	0.075	0.25	1.5	1.2
R_ADPTR-CE-WR62	WR62	0.702	0.391	1.31	1.31	0.075	0.25	2.2	1.7
R_ADPTR-CE-WR67	WR67	0.75	0.42	1.31	1.31	0.075	0.25	2.2	1.7
R_ADPTR-CE-WR75	WR75	0.85	0.475	1.5	1.5	0.12	0.25	2.2	1.7
R_ADPTR-CE-WR75-RH	WR75-RH	0.85	0.3	1.5	1.5	0.12	0.25	2.2	1.7
R_ADPTR-CE-WR90	WR90	1	0.5	1.63	1.63	0.12	0.25	2.2	1.7
R_ADPTR-CE-WR90-RH	WR90-RH	1	0.3	1.63	1.63	0.12	0.25	2.2	1.7
R_ADPTR-HP-CE-WR28	WR28	0.36	0.22	0.75	0.75	0.1	0.19	1.5	1.2
R_ADPTR-HP-CE-WR42	WR42	0.5	0.25	0.88	0.88	0.075	0.19	1.5	1.2
R_ADPTR-HP-CE-WR62	WR62	0.702	0.391	1.31	1.31	0.075	0.25	2.2	1.7
R_ADPTR-HP-CE-WR67	WR67	0.75	0.42	1.31	1.31	0.075	0.25	2.2	1.7
R_ADPTR-HP-CE-WR75	WR75	0.85	0.475	1.5	1.5	0.12	0.25	2.2	1.7
R_ADPTR-HP-CE-WR90	WR90	1	0.5	1.63	1.63	0.12	0.25	2.2	1.7
