PartNumber	NominalSize	Width (in)	Height (in)	FlangeOutsideWidth (in)	FlangeOutsideHeight (in)	FlangeThickness (in)	FlangeChamfer (in)	FaceToFaceLength (in)	GasketDiameter (in)	GasketCrossSectionWidth (in)	GasketThickness (in)
R_PS_CEGE-WR28	WR28	0.36	0.22	0.75	0.75	0.19	0.1	2	0.596	0.096	0.05
R_PS_CEGE-WR34	WR34	0.42	0.25	0.88	0.88	0.19	0.075	2	0.761	0.087	0.042
R_PS_CEGE-WR42	WR42	0.5	0.25	0.88	0.88	0.19	0.075	2	0.761	0.087	0.042
R_PS_CEGE-WR51	WR51	0.59	0.335	1.31	1.31	0.25	0.075	2	1.069	0.16	0.104
R_PS_CEGE-WR62	WR62	0.702	0.391	1.31	1.31	0.25	0.075	2	1.208	0.158	0.113
R_PS_CEGE-WR67	WR67	0.75	0.42	1.31	1.31	0.25	0.075	2	1.208	0.158	0.113
R_PS_CEGE-WR75	WR75	0.85	0.475	1.5	1.5	0.25	0.12	2	1.314	0.099	0.05
R_PS_CEGE-WR75-RH	WR75-RH	0.85	0.3	1.5	1.5	0.25	0.12	2	1.314	0.099	0.05
R_PS_CEGE-WR90	WR90	1	0.5	1.63	1.63	0.25	0.12	2	1.551	0.128	0.067
R_PS_CEGE-WR90-RH	WR90-RH	1	0.3	1.63	1.63	0.25	0.12	2	1.551	0.128	0.067
