PartNumber	NominalSize	Width (in)	Height (in)	FlangeOutsideWidth (in)	FlangeOutsideHeight (in)	FlangeChamfer (in)	FlangeThickness (in)	OverallLength (in)	TBodyWidth (in)	TBodyHeight (in)	TBodyLength (in)
WRT_TERMINATION-MP_CE_WR19	WR19	0.268	0.174	0.75	0.75	0.1	0.19	3.77	0.85	1.19	2.83
WRT_TERMINATION-MP_CE_WR22	WR22	0.304	0.192	0.75	0.75	0.1	0.19	3.77	0.85	1.21	2.83
WRT_TERMINATION-MP_CE_WR28	WR28	0.36	0.22	0.75	0.75	0.1	0.19	3.77	0.85	1.24	2.83
WRT_TERMINATION-MP_CE_WR34	WR34	0.42	0.25	0.88	0.88	0.075	0.19	3.77	0.85	1.27	2.83
WRT_TERMINATION-MP_CE_WR42	WR42	0.5	0.25	0.88	0.88	0.075	0.19	3.77	1.11	1.32	2.83
WRT_TERMINATION-MP_CE_WR51	WR51	0.59	0.335	1.31	1.31	0.075	0.25	4.56	1.11	2.29	3.56
WRT_TERMINATION-MP_CE_WR62	WR62	0.702	0.391	1.31	1.31	0.075	0.25	5.23	1.28	2.35	4.23
WRT_TERMINATION-MP_CE_WR67	WR67	0.75	0.42	1.31	1.31	0.075	0.25	5.51	1.28	2.38	4.51
WRT_TERMINATION-MP_CE_WR75	WR75	0.85	0.475	1.5	1.5	0.12	0.25	6	1.52	2.82	5
WRT_TERMINATION-MP_CE_WR90	WR90	1	0.5	1.63	1.63	0.12	0.25	6.9	1.87	2.6	5.9
