PartNumber	NominalSize	NominalSize2	Width (in)	Width2 (in)	Height (in)	Height2 (in)	FlangeOutsideWidth (in)	FlangeOutsideWidth2 (in)	FlangeOutsideHeight (in)	FlangeOutsideHeight2 (in)	FlangeThickness (in)	FlangeThickness2 (in)	FlangeChamfer (in)	FlangeChamfer2 (in)	FaceToFaceLength (in)	GasketDiameter (in)	GasketCrossSectionWidth (in)	GasketThickness (in)
R_TRANS_CEGE-WR22-WR19	WR22	WR19	0.304	0.268	0.192	0.174	0.75	0.75	0.75	0.75	0.19	0.19	0.1	0.1	4	0.596	0.096	0.05
R_TRANS_CEGE-WR28-WR22	WR28	WR22	0.36	0.304	0.22	0.192	0.75	0.75	0.75	0.75	0.19	0.19	0.1	0.1	4	0.596	0.096	0.05
R_TRANS_CEGE-WR34-WR28	WR34	WR28	0.42	0.36	0.25	0.22	0.88	0.75	0.88	0.75	0.19	0.19	0.075	0.1	4	0.596	0.096	0.05
R_TRANS_CEGE-WR42-WR34	WR42	WR34	0.5	0.42	0.25	0.25	0.88	0.88	0.88	0.88	0.19	0.19	0.075	0.075	4	0.761	0.087	0.042
R_TRANS_CEGE-WR51-WR42	WR51	WR42	0.59	0.5	0.335	0.25	1.31	0.88	1.31	0.88	0.25	0.19	0.075	0.075	4	0.761	0.087	0.042
R_TRANS_CEGE-WR62-WR51	WR62	WR51	0.702	0.59	0.391	0.335	1.31	1.31	1.31	1.31	0.25	0.25	0.075	0.075	4	1.069	0.16	0.104
R_TRANS_CEGE-WR67-WR51	WR67	WR51	0.75	0.59	0.42	0.335	1.31	1.31	1.31	1.31	0.25	0.25	0.075	0.075	4	1.069	0.16	0.104
R_TRANS_CEGE-WR67-WR62	WR67	WR62	0.75	0.702	0.42	0.391	1.31	1.31	1.31	1.31	0.25	0.25	0.075	0.075	4	1.208	0.158	0.113
R_TRANS_CEGE-WR75-WR62	WR75	WR62	0.85	0.702	0.475	0.391	1.5	1.31	1.5	1.31	0.25	0.25	0.12	0.075	4	1.208	0.158	0.113
R_TRANS_CEGE-WR75-WR67	WR75	WR67	0.85	0.75	0.475	0.42	1.5	1.31	1.5	1.31	0.25	0.25	0.12	0.075	4	1.208	0.158	0.113
R_TRANS_CEGE-WR75-RH-WR62	WR75-RH	WR62	0.85	0.702	0.3	0.391	1.5	1.31	1.5	1.31	0.25	0.25	0.12	0.075	4	1.208	0.158	0.113
R_TRANS_CEGE-WR75-RH-WR67	WR75-RH	WR67	0.85	0.75	0.3	0.42	1.5	1.31	1.5	1.31	0.25	0.25	0.12	0.075	4	1.208	0.158	0.113
R_TRANS_CEGE-WR75-RH-WR75	WR75-RH	WR75	0.85	0.85	0.3	0.475	1.5	1.5	1.5	1.5	0.25	0.25	0.12	0.12	5	1.314	0.099	0.05
R_TRANS_CEGE-WR90-WR75	WR90	WR75	1	0.85	0.5	0.475	1.63	1.5	1.63	1.5	0.25	0.25	0.12	0.12	5	1.314	0.099	0.05
R_TRANS_CEGE-WR90-WR75-RH	WR90	WR75-RH	1	0.85	0.5	0.3	1.63	1.5	1.63	1.5	0.25	0.25	0.12	0.12	5	1.314	0.099	0.05
R_TRANS_CEGE-WR90-RH-WR75	WR90-RH	WR75	1	0.85	0.3	0.475	1.63	1.5	1.63	1.5	0.25	0.25	0.12	0.12	5	1.314	0.099	0.05
R_TRANS_CEGE-WR90-RH-WR75-RH	WR90-RH	WR75-RH	1	0.85	0.3	0.3	1.63	1.5	1.63	1.5	0.25	0.25	0.12	0.12	5	1.314	0.099	0.05
R_TRANS_CEGE-WR90-RH-WR90	WR90-RH	WR90	1	1	0.3	0.5	1.63	1.63	1.63	1.63	0.25	0.25	0.12	0.12	6	1.551	0.128	0.067
