ENDCHAPTER,NC_TOOLS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keywords,MFG_NAME_BAS,MFG_NAME,MFG_COMMENT,MFG_TOOL_NUMBER,MFG_NOMINAL_DIAM,MFG_OVERALL_LGTH,MFG_CORNER_RAD,MFG_CORNER_RAD_2,MFG_LENGTH,MFG_CUT_LENGTH,MFG_BODY_DIAM,MFG_NB_OF_STAGES,MFG_ENTRY_DIAM,MFG_OUTSIDE_DIAM,MFG_CHAMFR_DIAM1,MFG_CHAMFR_DIAM2,MFG_TL_TIP_LGTH,MFG_LENGTH_1,MFG_LENGTH_2,MFG_TAPER_ANGLE,MFG_ANGLE2,MFG_TIP_ANGLE,MFG_TIP_RADIUS,MFG_TIP_LENGTH,MFG_NON_CUT_DIAM,MFG_MIN_DIAMETER,MFG_MAX_DIAMETER,MFG_TOOL_ANGLE,MFG_CUT_ANGLE,
Types,String,String,String,Integer,mm,mm,mm,mm,mm,mm,mm,Integer,mm,mm,mm,mm,mm,mm,mm,deg,deg,deg,mm,mm,mm,mm,mm,deg,deg,
,MfgDrillTool,SE97,,9,9.7,100,,,60,50,9,,,, , ,0,,,,,,,,,,,,180,
,MfgDrillTool,BOH8,,11,8,100,,,50,45,8,,,, , ,1.456,,,,,,,,,,,,140,
,MfgDrillTool,BOH11,,12,11,120,,,60,50,11,,,, , ,2.002,,,,,,,,,,,,140,
,MfgMultiDiamDrillTool,ZYBO,,1,12.75,180,,,100,160,25,2,,,25,25,2.44,26,,40,,,,,,,,,140,
,MfgMultiDiamDrillTool,STUBO67,,2,6.7,80,,,50,70,9,2,,,9,9,1.22,24.75,,90,,,,,,,,,140,
,MfgMultiDiamDrillTool,STUBO55,,4,5.5,80,,,50,70,6.6,2,,,6.6,6.6,0.9,19.75,,90,,,,,,,,,140,
,MfgMultiDiamDrillTool,STUBO65,,6,6.5,80,,,50,70,7.6,2,,,7.6,7.6,1.118,22.15,,90,,,,,,,,,140,
,MfgCountersinkTool,KES1,,8,23,50,0,,10,6.5,10,,10,23,,,,,,,,,,,,,,,90,
,MfgReamerTool,REAM10,,10,10,60,,,50,45,9,,8,,,,1,,,,,,,,,,,,,
,MfgTapTool,GEWFM8,,3,8,60,,,30,28,8,,,,,,3,,,,,,,,,,,,,
,MfgTapTool,GEWFM6,,5,6,80,,,20,18,6,,,,,,2,,,,,,,,,,,,,
,MfgTapTool,GEWFM7,,7,7,60,,,30,28,7,,,,,,2,,,,,,,,,,,,,
