PartNumber	PartName	D(mm)	R1(mm)
SQUARE 100x10	SQUARE_100x10	100	10
SQUARE 200x20	SQUARE_200x20	200	20
SQUARE 300x30	SQUARE_300x30	300	30
SQUARE 400x40	SQUARE_400x40	400	40
SQUARE 500x50	SQUARE_500x50	500	50
SQUARE 600x60	SQUARE_600x60	600	60
SQUARE 700x70	SQUARE_700x70	700	70
SQUARE 800x80	SQUARE_800x80	800	80
SQUARE 900x90	SQUARE_900x90	900	90
SQUARE 1000x100	SQUARE_1000x100	1000	100
SQUARE 1100x110	SQUARE_1100x110	1100	110
SQUARE 1200x120	SQUARE_1200x120	1200	120
SQUARE 1300x130	SQUARE_1300x130	1300	130
SQUARE 1400x140	SQUARE_1400x140	1400	140
SQUARE 1500x150	SQUARE_1500x150	1500	150
SQUARE 1600x160	SQUARE_1600x160	1600	160
SQUARE 1700x170	SQUARE_1700x170	1700	170
SQUARE 1800x180	SQUARE_1800x180	1800	180
SQUARE 1900x190	SQUARE_1900x190	1900	190
SQUARE 2000x200	SQUARE_2000x200	2000	200
SQUARE 2100x210	SQUARE_2100x210	2100	210
SQUARE 2200x220	SQUARE_2200x220	2200	220
SQUARE 2300x230	SQUARE_2300x230	2300	230
SQUARE 2400x240	SQUARE_2400x240	2400	240
SQUARE 2500x250	SQUARE_2500x250	2500	250
SQUARE 2600x260	SQUARE_2600x260	2600	260
SQUARE 2700x270	SQUARE_2700x270	2700	270
SQUARE 2800x280	SQUARE_2800x280	2800	280
SQUARE 2900x290	SQUARE_2900x290	2900	290
