CATRouPartNumber	CATRouSize	CATRouOutsideDiameter
RD-DAMPER-FLG-03	3"	3in
RD-DAMPER-FLG-04	4"	4in
RD-DAMPER-FLG-05	5"	5in
RD-DAMPER-FLG-06	6"	6in
RD-DAMPER-FLG-07	7"	7in
RD-DAMPER-FLG-08	8"	8in
RD-DAMPER-FLG-09	9"	9in
RD-DAMPER-FLG-10	10"	10in
RD-DAMPER-FLG-12	12"	12in
RD-DAMPER-FLG-14	14"	14in
RD-DAMPER-FLG-16	16"	16in
RD-DAMPER-FLG-18	18"	18in
RD-DAMPER-FLG-20	20"	20in
RD-DAMPER-FLG-22	22"	22in
RD-DAMPER-FLG-24	24"	24in
RD-DAMPER-FLG-26	26"	26in
RD-DAMPER-FLG-28	28"	28in
RD-DAMPER-FLG-30	30"	30in
