CATRouPartNumber	CATRouSize	CATRouOutsideDiameter	CATRouAngle	CATRouTurnRadius
RD-ELBOW90E-03	3"	3in	90deg	3in
RD-ELBOW90E-04	4"	4in	90deg	4in
RD-ELBOW90E-05	5"	5in	90deg	5in
RD-ELBOW90E-06	6"	6in	90deg	6in
RD-ELBOW90E-07	7"	7in	90deg	7in
RD-ELBOW90E-08	8"	8in	90deg	8in
RD-ELBOW90E-09	9"	9in	90deg	9in
RD-ELBOW90E-10	10"	10in	90deg	10in
RD-ELBOW90E-12	12"	12in	90deg	12in
RD-ELBOW90E-14	14"	14in	90deg	14in
RD-ELBOW90E-16	16"	16in	90deg	16in
RD-ELBOW90E-18	18"	18in	90deg	18in
RD-ELBOW90E-20	20"	20in	90deg	20in
RD-ELBOW90E-22	22"	22in	90deg	22in
RD-ELBOW90E-24	24"	24in	90deg	24in
RD-ELBOW90E-26	26"	26in	90deg	26in
RD-ELBOW90E-28	28"	28in	90deg	28in
RD-ELBOW90E-30	30"	30in	90deg	30in
RD-ELBOW60E-03	3"	3in	60deg	3in
RD-ELBOW60E-04	4"	4in	60deg	4in
RD-ELBOW60E-05	5"	5in	60deg	5in
RD-ELBOW60E-06	6"	6in	60deg	6in
RD-ELBOW60E-07	7"	7in	60deg	7in
RD-ELBOW60E-08	8"	8in	60deg	8in
RD-ELBOW60E-09	9"	9in	60deg	9in
RD-ELBOW60E-10	10"	10in	60deg	10in
RD-ELBOW60E-12	12"	12in	60deg	12in
RD-ELBOW60E-14	14"	14in	60deg	14in
RD-ELBOW60E-16	16"	16in	60deg	16in
RD-ELBOW60E-18	18"	18in	60deg	18in
RD-ELBOW60E-20	20"	20in	60deg	20in
RD-ELBOW60E-22	22"	22in	60deg	22in
RD-ELBOW60E-24	24"	24in	60deg	24in
RD-ELBOW60E-26	26"	26in	60deg	26in
RD-ELBOW60E-28	28"	28in	60deg	28in
RD-ELBOW60E-30	30"	30in	60deg	30in
RD-ELBOW45E-03	3"	3in	45deg	3in
RD-ELBOW45E-04	4"	4in	45deg	4in
RD-ELBOW45E-05	5"	5in	45deg	5in
RD-ELBOW45E-06	6"	6in	45deg	6in
RD-ELBOW45E-07	7"	7in	45deg	7in
RD-ELBOW45E-08	8"	8in	45deg	8in
RD-ELBOW45E-09	9"	9in	45deg	9in
RD-ELBOW45E-10	10"	10in	45deg	10in
RD-ELBOW45E-12	12"	12in	45deg	12in
RD-ELBOW45E-14	14"	14in	45deg	14in
RD-ELBOW45E-16	16"	16in	45deg	16in
RD-ELBOW45E-18	18"	18in	45deg	18in
RD-ELBOW45E-20	20"	20in	45deg	20in
RD-ELBOW45E-22	22"	22in	45deg	22in
RD-ELBOW45E-24	24"	24in	45deg	24in
RD-ELBOW45E-26	26"	26in	45deg	26in
RD-ELBOW45E-28	28"	28in	45deg	28in
RD-ELBOW45E-30	30"	30in	45deg	30in
RD-ELBOW30E-03	3"	3in	30deg	3in
RD-ELBOW30E-04	4"	4in	30deg	4in
RD-ELBOW30E-05	5"	5in	30deg	5in
RD-ELBOW30E-06	6"	6in	30deg	6in
RD-ELBOW30E-07	7"	7in	30deg	7in
RD-ELBOW30E-08	8"	8in	30deg	8in
RD-ELBOW30E-09	9"	9in	30deg	9in
RD-ELBOW30E-10	10"	10in	30deg	10in
RD-ELBOW30E-12	12"	12in	30deg	12in
RD-ELBOW30E-14	14"	14in	30deg	14in
RD-ELBOW30E-16	16"	16in	30deg	16in
RD-ELBOW30E-18	18"	18in	30deg	18in
RD-ELBOW30E-20	20"	20in	30deg	20in
RD-ELBOW30E-22	22"	22in	30deg	22in
RD-ELBOW30E-24	24"	24in	30deg	24in
RD-ELBOW30E-26	26"	26in	30deg	26in
RD-ELBOW30E-28	28"	28in	30deg	28in
RD-ELBOW30E-30	30"	30in	30deg	30in
