CATRouPartNumber	CATRouSize	CATRouOutsideDiameter	CATRouAngle	CATRouTurnRadius
RD-ELBOW90-FLG-03	3"	3in	90deg	3in
RD-ELBOW90-FLG-04	4"	4in	90deg	4in
RD-ELBOW90-FLG-05	5"	5in	90deg	5in
RD-ELBOW90-FLG-06	6"	6in	90deg	6in
RD-ELBOW90-FLG-07	7"	7in	90deg	7in
RD-ELBOW90-FLG-08	8"	8in	90deg	8in
RD-ELBOW90-FLG-09	9"	9in	90deg	9in
RD-ELBOW90-FLG-10	10"	10in	90deg	10in
RD-ELBOW90-FLG-12	12"	12in	90deg	12in
RD-ELBOW90-FLG-14	14"	14in	90deg	14in
RD-ELBOW90-FLG-16	16"	16in	90deg	16in
RD-ELBOW90-FLG-18	18"	18in	90deg	18in
RD-ELBOW90-FLG-20	20"	20in	90deg	20in
RD-ELBOW90-FLG-22	22"	22in	90deg	22in
RD-ELBOW90-FLG-24	24"	24in	90deg	24in
RD-ELBOW90-FLG-26	26"	26in	90deg	26in
RD-ELBOW90-FLG-28	28"	28in	90deg	28in
RD-ELBOW90-FLG-30	30"	30in	90deg	30in
RD-ELBOW60-FLG-03	3"	3in	60deg	3in
RD-ELBOW60-FLG-04	4"	4in	60deg	4in
RD-ELBOW60-FLG-05	5"	5in	60deg	5in
RD-ELBOW60-FLG-06	6"	6in	60deg	6in
RD-ELBOW60-FLG-07	7"	7in	60deg	7in
RD-ELBOW60-FLG-08	8"	8in	60deg	8in
RD-ELBOW60-FLG-09	9"	9in	60deg	9in
RD-ELBOW60-FLG-10	10"	10in	60deg	10in
RD-ELBOW60-FLG-12	12"	12in	60deg	12in
RD-ELBOW60-FLG-14	14"	14in	60deg	14in
RD-ELBOW60-FLG-16	16"	16in	60deg	16in
RD-ELBOW60-FLG-18	18"	18in	60deg	18in
RD-ELBOW60-FLG-20	20"	20in	60deg	20in
RD-ELBOW60-FLG-22	22"	22in	60deg	22in
RD-ELBOW60-FLG-24	24"	24in	60deg	24in
RD-ELBOW60-FLG-26	26"	26in	60deg	26in
RD-ELBOW60-FLG-28	28"	28in	60deg	28in
RD-ELBOW60-FLG-30	30"	30in	60deg	30in
RD-ELBOW45-FLG-03	3"	3in	45deg	3in
RD-ELBOW45-FLG-04	4"	4in	45deg	4in
RD-ELBOW45-FLG-05	5"	5in	45deg	5in
RD-ELBOW45-FLG-06	6"	6in	45deg	6in
RD-ELBOW45-FLG-07	7"	7in	45deg	7in
RD-ELBOW45-FLG-08	8"	8in	45deg	8in
RD-ELBOW45-FLG-09	9"	9in	45deg	9in
RD-ELBOW45-FLG-10	10"	10in	45deg	10in
RD-ELBOW45-FLG-12	12"	12in	45deg	12in
RD-ELBOW45-FLG-14	14"	14in	45deg	14in
RD-ELBOW45-FLG-16	16"	16in	45deg	16in
RD-ELBOW45-FLG-18	18"	18in	45deg	18in
RD-ELBOW45-FLG-20	20"	20in	45deg	20in
RD-ELBOW45-FLG-22	22"	22in	45deg	22in
RD-ELBOW45-FLG-24	24"	24in	45deg	24in
RD-ELBOW45-FLG-26	26"	26in	45deg	26in
RD-ELBOW45-FLG-28	28"	28in	45deg	28in
RD-ELBOW45-FLG-30	30"	30in	45deg	30in
RD-ELBOW30-FLG-03	3"	3in	30deg	3in
RD-ELBOW30-FLG-04	4"	4in	30deg	4in
RD-ELBOW30-FLG-05	5"	5in	30deg	5in
RD-ELBOW30-FLG-06	6"	6in	30deg	6in
RD-ELBOW30-FLG-07	7"	7in	30deg	7in
RD-ELBOW30-FLG-08	8"	8in	30deg	8in
RD-ELBOW30-FLG-09	9"	9in	30deg	9in
RD-ELBOW30-FLG-10	10"	10in	30deg	10in
RD-ELBOW30-FLG-12	12"	12in	30deg	12in
RD-ELBOW30-FLG-14	14"	14in	30deg	14in
RD-ELBOW30-FLG-16	16"	16in	30deg	16in
RD-ELBOW30-FLG-18	18"	18in	30deg	18in
RD-ELBOW30-FLG-20	20"	20in	30deg	20in
RD-ELBOW30-FLG-22	22"	22in	30deg	22in
RD-ELBOW30-FLG-24	24"	24in	30deg	24in
RD-ELBOW30-FLG-26	26"	26in	30deg	26in
RD-ELBOW30-FLG-28	28"	28in	30deg	28in
RD-ELBOW30-FLG-30	30"	30in	30deg	30in
