CATRouPartNumber	CATRouSize	CATRouOutsideDiameter	CATRouAngle	CATRouTurnRadius
RD-ELBOW90-LBD-03	3"	3in	90deg	3in
RD-ELBOW90-LBD-04	4"	4in	90deg	4in
RD-ELBOW90-LBD-05	5"	5in	90deg	5in
RD-ELBOW90-LBD-06	6"	6in	90deg	6in
RD-ELBOW90-LBD-07	7"	7in	90deg	7in
RD-ELBOW90-LBD-08	8"	8in	90deg	8in
RD-ELBOW90-LBD-09	9"	9in	90deg	9in
RD-ELBOW90-LBD-10	10"	10in	90deg	10in
RD-ELBOW90-LBD-12	12"	12in	90deg	12in
RD-ELBOW90-LBD-14	14"	14in	90deg	14in
RD-ELBOW90-LBD-16	16"	16in	90deg	16in
RD-ELBOW90-LBD-18	18"	18in	90deg	18in
RD-ELBOW90-LBD-20	20"	20in	90deg	20in
RD-ELBOW90-LBD-22	22"	22in	90deg	22in
RD-ELBOW90-LBD-24	24"	24in	90deg	24in
RD-ELBOW90-LBD-26	26"	26in	90deg	26in
RD-ELBOW90-LBD-28	28"	28in	90deg	28in
RD-ELBOW90-LBD-30	30"	30in	90deg	30in
RD-ELBOW60-LBD-03	3"	3in	60deg	3in
RD-ELBOW60-LBD-04	4"	4in	60deg	4in
RD-ELBOW60-LBD-05	5"	5in	60deg	5in
RD-ELBOW60-LBD-06	6"	6in	60deg	6in
RD-ELBOW60-LBD-07	7"	7in	60deg	7in
RD-ELBOW60-LBD-08	8"	8in	60deg	8in
RD-ELBOW60-LBD-09	9"	9in	60deg	9in
RD-ELBOW60-LBD-10	10"	10in	60deg	10in
RD-ELBOW60-LBD-12	12"	12in	60deg	12in
RD-ELBOW60-LBD-14	14"	14in	60deg	14in
RD-ELBOW60-LBD-16	16"	16in	60deg	16in
RD-ELBOW60-LBD-18	18"	18in	60deg	18in
RD-ELBOW60-LBD-20	20"	20in	60deg	20in
RD-ELBOW60-LBD-22	22"	22in	60deg	22in
RD-ELBOW60-LBD-24	24"	24in	60deg	24in
RD-ELBOW60-LBD-26	26"	26in	60deg	26in
RD-ELBOW60-LBD-28	28"	28in	60deg	28in
RD-ELBOW60-LBD-30	30"	30in	60deg	30in
RD-ELBOW45-LBD-03	3"	3in	45deg	3in
RD-ELBOW45-LBD-04	4"	4in	45deg	4in
RD-ELBOW45-LBD-05	5"	5in	45deg	5in
RD-ELBOW45-LBD-06	6"	6in	45deg	6in
RD-ELBOW45-LBD-07	7"	7in	45deg	7in
RD-ELBOW45-LBD-08	8"	8in	45deg	8in
RD-ELBOW45-LBD-09	9"	9in	45deg	9in
RD-ELBOW45-LBD-10	10"	10in	45deg	10in
RD-ELBOW45-LBD-12	12"	12in	45deg	12in
RD-ELBOW45-LBD-14	14"	14in	45deg	14in
RD-ELBOW45-LBD-16	16"	16in	45deg	16in
RD-ELBOW45-LBD-18	18"	18in	45deg	18in
RD-ELBOW45-LBD-20	20"	20in	45deg	20in
RD-ELBOW45-LBD-22	22"	22in	45deg	22in
RD-ELBOW45-LBD-24	24"	24in	45deg	24in
RD-ELBOW45-LBD-26	26"	26in	45deg	26in
RD-ELBOW45-LBD-28	28"	28in	45deg	28in
RD-ELBOW45-LBD-30	30"	30in	45deg	30in
RD-ELBOW30-LBD-03	3"	3in	30deg	3in
RD-ELBOW30-LBD-04	4"	4in	30deg	4in
RD-ELBOW30-LBD-05	5"	5in	30deg	5in
RD-ELBOW30-LBD-06	6"	6in	30deg	6in
RD-ELBOW30-LBD-07	7"	7in	30deg	7in
RD-ELBOW30-LBD-08	8"	8in	30deg	8in
RD-ELBOW30-LBD-09	9"	9in	30deg	9in
RD-ELBOW30-LBD-10	10"	10in	30deg	10in
RD-ELBOW30-LBD-12	12"	12in	30deg	12in
RD-ELBOW30-LBD-14	14"	14in	30deg	14in
RD-ELBOW30-LBD-16	16"	16in	30deg	16in
RD-ELBOW30-LBD-18	18"	18in	30deg	18in
RD-ELBOW30-LBD-20	20"	20in	30deg	20in
RD-ELBOW30-LBD-22	22"	22in	30deg	22in
RD-ELBOW30-LBD-24	24"	24in	30deg	24in
RD-ELBOW30-LBD-26	26"	26in	30deg	26in
RD-ELBOW30-LBD-28	28"	28in	30deg	28in
RD-ELBOW30-LBD-30	30"	30in	30deg	30in
