CATRouPartNumber	CATRouSize	CATRouOutsideDiameter	CATRouAngle	CATRouTurnRadius	NumberOfMiterCuts
RD-ELBOW90-MTR3-03	3"	3in	90deg	3in	3
RD-ELBOW90-MTR3-04	4"	4in	90deg	4in	3
RD-ELBOW90-MTR3-05	5"	5in	90deg	5in	3
RD-ELBOW90-MTR3-06	6"	6in	90deg	6in	3
RD-ELBOW90-MTR3-07	7"	7in	90deg	7in	3
RD-ELBOW90-MTR3-08	8"	8in	90deg	8in	3
RD-ELBOW90-MTR3-09	9"	9in	90deg	9in	3
RD-ELBOW90-MTR3-10	10"	10in	90deg	10in	3
RD-ELBOW90-MTR3-12	12"	12in	90deg	12in	3
RD-ELBOW90-MTR3-14	14"	14in	90deg	14in	3
RD-ELBOW90-MTR3-16	16"	16in	90deg	16in	3
RD-ELBOW90-MTR3-18	18"	18in	90deg	18in	3
RD-ELBOW90-MTR3-20	20"	20in	90deg	20in	3
RD-ELBOW90-MTR3-22	22"	22in	90deg	22in	3
RD-ELBOW90-MTR3-24	24"	24in	90deg	24in	3
RD-ELBOW90-MTR3-26	26"	26in	90deg	26in	3
RD-ELBOW90-MTR3-28	28"	28in	90deg	28in	3
RD-ELBOW90-MTR3-30	30"	30in	90deg	30in	3
RD-ELBOW60-MTR3-03	3"	3in	60deg	3in	3
RD-ELBOW60-MTR3-04	4"	4in	60deg	4in	3
RD-ELBOW60-MTR3-05	5"	5in	60deg	5in	3
RD-ELBOW60-MTR3-06	6"	6in	60deg	6in	3
RD-ELBOW60-MTR3-07	7"	7in	60deg	7in	3
RD-ELBOW60-MTR3-08	8"	8in	60deg	8in	3
RD-ELBOW60-MTR3-09	9"	9in	60deg	9in	3
RD-ELBOW60-MTR3-10	10"	10in	60deg	10in	3
RD-ELBOW60-MTR3-12	12"	12in	60deg	12in	3
RD-ELBOW60-MTR3-14	14"	14in	60deg	14in	3
RD-ELBOW60-MTR3-16	16"	16in	60deg	16in	3
RD-ELBOW60-MTR3-18	18"	18in	60deg	18in	3
RD-ELBOW60-MTR3-20	20"	20in	60deg	20in	3
RD-ELBOW60-MTR3-22	22"	22in	60deg	22in	3
RD-ELBOW60-MTR3-24	24"	24in	60deg	24in	3
RD-ELBOW60-MTR3-26	26"	26in	60deg	26in	3
RD-ELBOW60-MTR3-28	28"	28in	60deg	28in	3
RD-ELBOW60-MTR3-30	30"	30in	60deg	30in	3
RD-ELBOW45-MTR2-03	3"	3in	45deg	3in	2
RD-ELBOW45-MTR2-04	4"	4in	45deg	4in	2
RD-ELBOW45-MTR2-05	5"	5in	45deg	5in	2
RD-ELBOW45-MTR2-06	6"	6in	45deg	6in	2
RD-ELBOW45-MTR2-07	7"	7in	45deg	7in	2
RD-ELBOW45-MTR2-08	8"	8in	45deg	8in	2
RD-ELBOW45-MTR2-09	9"	9in	45deg	9in	2
RD-ELBOW45-MTR2-10	10"	10in	45deg	10in	2
RD-ELBOW45-MTR2-12	12"	12in	45deg	12in	2
RD-ELBOW45-MTR2-14	14"	14in	45deg	14in	2
RD-ELBOW45-MTR2-16	16"	16in	45deg	16in	2
RD-ELBOW45-MTR2-18	18"	18in	45deg	18in	2
RD-ELBOW45-MTR2-20	20"	20in	45deg	20in	2
RD-ELBOW45-MTR2-22	22"	22in	45deg	22in	2
RD-ELBOW45-MTR2-24	24"	24in	45deg	24in	2
RD-ELBOW45-MTR2-26	26"	26in	45deg	26in	2
RD-ELBOW45-MTR2-28	28"	28in	45deg	28in	2
RD-ELBOW45-MTR2-30	30"	30in	45deg	30in	2
RD-ELBOW30-MTR2-03	3"	3in	30deg	3in	2
RD-ELBOW30-MTR2-04	4"	4in	30deg	4in	2
RD-ELBOW30-MTR2-05	5"	5in	30deg	5in	2
RD-ELBOW30-MTR2-06	6"	6in	30deg	6in	2
RD-ELBOW30-MTR2-07	7"	7in	30deg	7in	2
RD-ELBOW30-MTR2-08	8"	8in	30deg	8in	2
RD-ELBOW30-MTR2-09	9"	9in	30deg	9in	2
RD-ELBOW30-MTR2-10	10"	10in	30deg	10in	2
RD-ELBOW30-MTR2-12	12"	12in	30deg	12in	2
RD-ELBOW30-MTR2-14	14"	14in	30deg	14in	2
RD-ELBOW30-MTR2-16	16"	16in	30deg	16in	2
RD-ELBOW30-MTR2-18	18"	18in	30deg	18in	2
RD-ELBOW30-MTR2-20	20"	20in	30deg	20in	2
RD-ELBOW30-MTR2-22	22"	22in	30deg	22in	2
RD-ELBOW30-MTR2-24	24"	24in	30deg	24in	2
RD-ELBOW30-MTR2-26	26"	26in	30deg	26in	2
RD-ELBOW30-MTR2-28	28"	28in	30deg	28in	2
RD-ELBOW30-MTR2-30	30"	30in	30deg	30in	2
