CATRouPartNumber	CATRouSize	CATRouOutsideDiameter
RD-TEE-LAT-LBD-03	3"	3in
RD-TEE-LAT-LBD-04	4"	4in
RD-TEE-LAT-LBD-05	5"	5in
RD-TEE-LAT-LBD-06	6"	6in
RD-TEE-LAT-LBD-07	7"	7in
RD-TEE-LAT-LBD-08	8"	8in
RD-TEE-LAT-LBD-09	9"	9in
RD-TEE-LAT-LBD-10	10"	10in
RD-TEE-LAT-LBD-12	12"	12in
RD-TEE-LAT-LBD-14	14"	14in
RD-TEE-LAT-LBD-16	16"	16in
RD-TEE-LAT-LBD-18	18"	18in
RD-TEE-LAT-LBD-20	20"	20in
RD-TEE-LAT-LBD-22	22"	22in
RD-TEE-LAT-LBD-24	24"	24in
RD-TEE-LAT-LBD-26	26"	26in
RD-TEE-LAT-LBD-28	28"	28in
RD-TEE-LAT-LBD-30	30"	30in
