CATRouPartNumber	CATRouSize	CATRouOutsideDiameter	UpperThickness	LowerThickness	ClevisWidth	RodSize	CenterToTopHeight	OverallHeight	BoltDiameter	BoltHeadDiameter	BoltHeadHeight	HexNutWidth	HexNutHeight	Adjustment
CLEVIS-00.375in	3/8"	0.375in	0.0625in	0.0625in	0.75in	0.3125in	1.40625in	1.75000in	0.1900in	0.359in	0.13700in	0.650in	0.328125in	0.3125in
CLEVIS-00.50in	1/2"	0.5in	0.0625in	0.0625in	0.75in	0.3125in	1.62500in	2.06250in	0.1900in	0.359in	0.13700in	0.650in	0.328125in	0.5000in
CLEVIS-00.75in	3/4"	0.75in	0.0625in	0.0625in	0.875in	0.3125in	1.84375in	2.37500in	0.2160in	0.408in	0.15300in	0.650in	0.328125in	0.5625in
CLEVIS-01.00in	1"	1.0in	0.0625in	0.0625in	0.875in	0.3125in	2.06250in	2.65625in	0.2160in	0.408in	0.15300in	0.650in	0.328125in	0.5625in
CLEVIS-01.25in	1 1/4"	1.25in	0.0625in	0.0625in	0.875in	0.3125in	2.56250in	3.40625in	0.2160in	0.408in	0.15300in	0.650in	0.328125in	0.8750in
CLEVIS-01.50in	1 1/2"	1.5in	0.0625in	0.0625in	0.875in	0.3125in	2.93750in	3.90625in	0.2160in	0.408in	0.15300in	0.650in	0.328125in	1.0625in
CLEVIS-02.00in	2"	2.0in	0.0625in	0.0625in	0.875in	0.3125in	3.62500in	4.81250in	0.2160in	0.408in	0.15300in	0.650in	0.328125in	1.5625in
CLEVIS-02.50in	2 1/2"	2.5in	0.1250in	0.1250in	1.250in	0.5000in	4.56250in	6.00000in	0.3125in	0.577in	0.21875in	0.866in	0.4375in	2.1250in
CLEVIS-03.00in	3"	3.0in	0.1250in	0.1250in	1.250in	0.5000in	4.65625in	6.81250in	0.3125in	0.577in	0.21875in	0.866in	0.4375in	1.8750in
CLEVIS-03.50in	3 1/2"	3.5in	0.1250in	0.1250in	1.250in	0.5000in	4.81250in	6.81250in	0.3125in	0.577in	0.21875in	0.866in	0.4375in	1.8125in
CLEVIS-04.00in	4"	4.0in	0.1875in	0.1250in	1.250in	0.5000in	5.50000in	7.75000in	0.3125in	0.577in	0.21875in	0.866in	0.4375in	2.0625in

