CATRouPartNumber	CATRouSize1	CATRouSize2	CATRouOutsideDiameter	CATRouOutsideDiameter2	FaceToFaceLength
REDECC-WM-00.75in-00.50in	3/4"	1/2"	0.75in	0.5in	1.5in
REDECC-WM-01.00in-00.50in	1"	1/2"	1in	0.5in	2in
REDECC-WM-01.00in-00.75in	1"	3/4"	1in	0.75in	2in
REDECC-WM-01.25in-00.50in	1 1/4"	1/2"	1.25in	0.5in	2in
REDECC-WM-01.25in-00.75in	1 1/4"	3/4"	1.25in	0.75in	2in
REDECC-WM-01.25in-01.00in	1 1/4"	1"	1.25in	1in	2in
REDECC-WM-01.50in-00.50in	1 1/2"	1/2"	1.5in	0.5in	2.5in
REDECC-WM-01.50in-00.75in	1 1/2"	3/4"	1.5in	0.75in	2.5in
REDECC-WM-01.50in-01.00in	1 1/2"	1"	1.5in	1in	2.5in
REDECC-WM-01.50in-01.25in	1 1/2"	1 1/4"	1.5in	1.25in	2.5in
REDECC-WM-02.00in-00.75in	2"	3/4"	2in	0.75in	3in
REDECC-WM-02.00in-01.00in	2"	1"	2in	1in	3in
REDECC-WM-02.00in-01.25in	2"	1 1/4"	2in	1.25in	3in
REDECC-WM-02.00in-01.50in	2"	1 1/2"	2in	1.5in	3in
REDECC-WM-02.50in-01.00in	2 1/2"	1"	2.5in	1in	3.5in
REDECC-WM-02.50in-01.25in	2 1/2"	1 1/4"	2.5in	1.25in	3.5in
REDECC-WM-02.50in-01.50in	2 1/2"	1 1/2"	2.5in	1.5in	3.5in
REDECC-WM-02.50in-02.00in	2 1/2"	2"	2.5in	2in	3.5in
REDECC-WM-03.00in-01.25in	3"	1 1/4"	3in	1.25in	3.5in
REDECC-WM-03.00in-01.50in	3"	1 1/2"	3in	1.5in	3.5in
REDECC-WM-03.00in-02.00in	3"	2"	3in	2in	3.5in
REDECC-WM-03.00in-02.50in	3"	2 1/2"	3in	2.5in	3.5in
REDECC-WM-03.50in-01.25in	3 1/2"	1 1/4"	3.5in	1.25in	4in
REDECC-WM-03.50in-01.50in	3 1/2"	1 1/2"	3.5in	1.5in	4in
REDECC-WM-03.50in-02.00in	3 1/2"	2"	3.5in	2in	4in
REDECC-WM-03.50in-02.50in	3 1/2"	2 1/2"	3.5in	2.5in	4in
REDECC-WM-03.50in-03.00in	3 1/2"	3"	3.5in	3in	4in
REDECC-WM-04.00in-01.50in	4"	1 1/2"	4in	1.5in	4in
REDECC-WM-04.00in-02.00in	4"	2"	4in	2in	4in
REDECC-WM-04.00in-02.50in	4"	2 1/2"	4in	2.5in	4in
REDECC-WM-04.00in-03.00in	4"	3"	4in	3in	4in
REDECC-WM-04.00in-03.50in	4"	3 1/2"	4in	3.5in	4in
REDECC-WM-05.00in-02.00in	5"	2"	5in	2in	5in
REDECC-WM-05.00in-02.50in	5"	2 1/2"	5in	2.5in	5in
REDECC-WM-05.00in-03.00in	5"	3"	5in	3in	5in
REDECC-WM-05.00in-03.50in	5"	3 1/2"	5in	3.5in	5in
REDECC-WM-05.00in-04.00in	5"	4"	5in	4in	5in
REDECC-WM-06.00in-02.50in	6"	2 1/2"	6in	2.5in	5.5in
REDECC-WM-06.00in-03.00in	6"	3"	6in	3in	5.5in
REDECC-WM-06.00in-03.50in	6"	3 1/2"	6in	3.5in	5.5in
REDECC-WM-06.00in-04.00in	6"	4"	6in	4in	5.5in
REDECC-WM-06.00in-05.00in	6"	5"	6in	5in	5.5in
