CATRouPartNumber	CATRouSize	CATRouOutsideHeight	CATRouOutsideWidth	CATRouAngle	CATRouTurnRadius	InsideWidth	LoadingDepth	TangentLength	RungSpacing	RungHeight	RungLength	RailFlangeWidth	RailFlangeThickness	RailWebThickness
B34AL-06-30HB12	B34x6"	4.2in	7.5in	30deg	12in	6in	3.08in	3in	9in	1in	1in	1.75in	.12in	.1in
B34AL-09-30HB12	B34x9"	4.2in	10.5in	30deg	12in	9in	3.08in	3in	9in	1in	1in	1.75in	.12in	.1in
B34AL-12-30HB12	B34x12"	4.2in	13.5in	30deg	12in	12in	3.08in	3in	9in	1in	1in	1.75in	.12in	.1in
B34AL-18-30HB12	B34x18"	4.2in	19.5in	30deg	12in	18in	3.08in	3in	9in	1in	1in	1.75in	.12in	.1in
B34AL-24-30HB12	B34x24"	4.2in	25.5in	30deg	12in	24in	3.08in	3in	9in	1in	1in	1.75in	.12in	.1in
B34AL-30-30HB12	B34x30"	4.2in	31.5in	30deg	12in	30in	3.08in	3in	9in	1in	1in	1.75in	.12in	.1in
B34AL-36-30HB12	B34x36"	4.2in	37.5in	30deg	12in	36in	3.08in	3in	9in	1in	1in	1.75in	.12in	.1in
B34AL-42-30HB12	B34x42"	4.2in	43.5in	30deg	12in	42in	3.08in	3in	9in	1in	1in	1.75in	.12in	.1in
B34AL-06-30HB24	B34x6"	4.2in	7.5in	30deg	24in	6in	3.08in	3in	9in	1in	1in	1.75in	.12in	.1in
B34AL-09-30HB24	B34x9"	4.2in	10.5in	30deg	24in	9in	3.08in	3in	9in	1in	1in	1.75in	.12in	.1in
B34AL-12-30HB24	B34x12"	4.2in	13.5in	30deg	24in	12in	3.08in	3in	9in	1in	1in	1.75in	.12in	.1in
B34AL-18-30HB24	B34x18"	4.2in	19.5in	30deg	24in	18in	3.08in	3in	9in	1in	1in	1.75in	.12in	.1in
B34AL-24-30HB24	B34x24"	4.2in	25.5in	30deg	24in	24in	3.08in	3in	9in	1in	1in	1.75in	.12in	.1in
B34AL-30-30HB24	B34x30"	4.2in	31.5in	30deg	24in	30in	3.08in	3in	9in	1in	1in	1.75in	.12in	.1in
B34AL-36-30HB24	B34x36"	4.2in	37.5in	30deg	24in	36in	3.08in	3in	9in	1in	1in	1.75in	.12in	.1in
B34AL-42-30HB24	B34x42"	4.2in	43.5in	30deg	24in	42in	3.08in	3in	9in	1in	1in	1.75in	.12in	.1in
B34AL-06-45HB12	B34x6"	4.2in	7.5in	45deg	12in	6in	3.08in	3in	9in	1in	1in	1.75in	.12in	.1in
B34AL-09-45HB12	B34x9"	4.2in	10.5in	45deg	12in	9in	3.08in	3in	9in	1in	1in	1.75in	.12in	.1in
