CATRouPartNumber	CATRouSize1	CATRouSize2	CATRouOutsideHeight	CATRouOutsideWidth1	CATRouOutsideWidth2	InsideWidth1	LoadingDepth	Radius	TangentLength	RungSpacing	RungHeight	RungLength	RailFlangeWidth	RailFlangeThickness	RailWebThickness
B34AL-06-HT12	B34x6"	B34x6"	4.2in	7.5in	7.5in	6in	3.08in	12in	3in	9in	1in	1in	1.75in	0.12in	0.1in
B34AL-09-HT12	B34x9"	B34x9"	4.2in	10.5in	10.5in	9in	3.08in	12in	3in	9in	1in	1in	1.75in	0.12in	0.1in
B34AL-12-HT12	B34x12"	B34x12"	4.2in	13.5in	13.5in	12in	3.08in	12in	3in	9in	1in	1in	1.75in	0.12in	0.1in
B34AL-18-HT12	B34x18"	B34x18"	4.2in	19.5in	19.5in	18in	3.08in	12in	3in	9in	1in	1in	1.75in	0.12in	0.1in
B34AL-24-HT12	B34x24"	B34x24"	4.2in	25.5in	25.5in	24in	3.08in	12in	3in	9in	1in	1in	1.75in	0.12in	0.1in
B34AL-30-HT12	B34x30"	B34x30"	4.2in	31.5in	31.5in	30in	3.08in	12in	3in	9in	1in	1in	1.75in	0.12in	0.1in
B34AL-36-HT12	B34x36"	B34x36"	4.2in	37.5in	37.5in	36in	3.08in	12in	3in	9in	1in	1in	1.75in	0.12in	0.1in
B34AL-42-HT12	B34x42"	B34x42"	4.2in	43.5in	43.5in	42in	3.08in	12in	3in	9in	1in	1in	1.75in	0.12in	0.1in
B34AL-06-09-HT12	B34x6"	B34x9"	4.2in	7.5in	10.5in	6in	3.08in	12in	3in	9in	1in	1in	1.75in	0.12in	0.1in
B34AL-06-12-HT12	B34x6"	B34x12"	4.2in	7.5in	13.5in	6in	3.08in	12in	3in	9in	1in	1in	1.75in	0.12in	0.1in
B34AL-06-18-HT12	B34x6"	B34x18"	4.2in	7.5in	19.5in	6in	3.08in	12in	3in	9in	1in	1in	1.75in	0.12in	0.1in
B34AL-06-24-HT12	B34x6"	B34x24"	4.2in	7.5in	25.5in	6in	3.08in	12in	3in	9in	1in	1in	1.75in	0.12in	0.1in
B34AL-06-30-HT12	B34x6"	B34x30"	4.2in	7.5in	31.5in	6in	3.08in	12in	3in	9in	1in	1in	1.75in	0.12in	0.1in
B34AL-06-36-HT12	B34x6"	B34x36"	4.2in	7.5in	37.5in	6in	3.08in	12in	3in	9in	1in	1in	1.75in	0.12in	0.1in
B34AL-06-42-HT12	B34x6"	B34x42"	4.2in	7.5in	43.5in	6in	3.08in	12in	3in	9in	1in	1in	1.75in	0.12in	0.1in
B34AL-09-06-HT12	B34x9"	B34x6"	4.2in	10.5in	7.5in	9in	3.08in	12in	3in	9in	1in	1in	1.75in	0.12in	0.1in
B34AL-09-12-HT12	B34x9"	B34x12"	4.2in	10.5in	13.5in	9in	3.08in	12in	3in	9in	1in	1in	1.75in	0.12in	0.1in
B34AL-09-18-HT12	B34x9"	B34x18"	4.2in	10.5in	19.5in	9in	3.08in	12in	3in	9in	1in	1in	1.75in	0.12in	0.1in
B34AL-09-24-HT12	B34x9"	B34x24"	4.2in	10.5in	25.5in	9in	3.08in	12in	3in	9in	1in	1in	1.75in	0.12in	0.1in
B34AL-09-30-HT12	B34x9"	B34x30"	4.2in	10.5in	31.5in	9in	3.08in	12in	3in	9in	1in	1in	1.75in	0.12in	0.1in
B34AL-09-36-HT12	B34x9"	B34x36"	4.2in	10.5in	37.5in	9in	3.08in	12in	3in	9in	1in	1in	1.75in	0.12in	0.1in
B34AL-09-42-HT12	B34x9"	B34x42"	4.2in	10.5in	43.5in	9in	3.08in	12in	3in	9in	1in	1in	1.75in	0.12in	0.1in
B34AL-12-06-HT12	B34x12"	B34x6"	4.2in	13.5in	7.5in	12in	3.08in	12in	3in	9in	1in	1in	1.75in	0.12in	0.1in
B34AL-12-09-HT12	B34x12"	B34x9"	4.2in	13.5in	10.5in	12in	3.08in	12in	3in	9in	1in	1in	1.75in	0.12in	0.1in
B34AL-12-18-HT12	B34x12"	B34x18"	4.2in	13.5in	19.5in	12in	3.08in	12in	3in	9in	1in	1in	1.75in	0.12in	0.1in
B34AL-12-24-HT12	B34x12"	B34x24"	4.2in	13.5in	25.5in	12in	3.08in	12in	3in	9in	1in	1in	1.75in	0.12in	0.1in
