CATRouPartNumber	CATRouSize1	CATRouSize2	CATRouOutsideHeight	CATRouOutsideWidth1	CATRouOutsideWidth2	Length	InsideWidth1	InsideWidth2	LoadingDepth	RailFlangeWidth	RailFlangeThickness	RailWebThickness	RungSpacing	RungHeight	RungLength
B34AL-09-06-SR	B34x9"	B34x6"	4.2in	10.5in	7.5in	8.8750in	9in	6in	3.08in	1.75in	0.12in	0.1in	6in	1in	1in
B34AL-12-06-SR	B34x12"	B34x6"	4.2in	13.5in	7.5in	9.7500in	12in	6in	3.08in	1.75in	0.12in	0.1in	6in	1in	1in
B34AL-12-09-SR	B34x12"	B34x9"	4.2in	13.5in	10.5in	8.8750in	12in	9in	3.08in	1.75in	0.12in	0.1in	6in	1in	1in
B34AL-18-06-SR	B34x18"	B34x6"	4.2in	19.5in	7.5in	11.500in	18in	6in	3.08in	1.75in	0.12in	0.1in	6in	1in	1in
B34AL-18-09-SR	B34x18"	B34x9"	4.2in	19.5in	10.5in	10.625in	18in	9in	3.08in	1.75in	0.12in	0.1in	6in	1in	1in
B34AL-18-12-SR	B34x18"	B34x12"	4.2in	19.5in	13.5in	9.7500in	18in	12in	3.08in	1.75in	0.12in	0.1in	6in	1in	1in
B34AL-24-06-SR	B34x24"	B34x6"	4.2in	25.5in	7.5in	13.1875in	24in	6in	3.08in	1.75in	0.12in	0.1in	6in	1in	1in
B34AL-24-09-SR	B34x24"	B34x9"	4.2in	25.5in	10.5in	12.375in	24in	9in	3.08in	1.75in	0.12in	0.1in	6in	1in	1in
B34AL-24-12-SR	B34x24"	B34x12"	4.2in	25.5in	13.5in	11.500in	24in	12in	3.08in	1.75in	0.12in	0.1in	6in	1in	1in
B34AL-24-18-SR	B34x24"	B34x18"	4.2in	25.5in	19.5in	9.7500in	24in	18in	3.08in	1.75in	0.12in	0.1in	6in	1in	1in
B34AL-30-06-SR	B34x30"	B34x6"	4.2in	31.5in	7.5in	14.9375in	30in	6in	3.08in	1.75in	0.12in	0.1in	6in	1in	1in
B34AL-30-09-SR	B34x30"	B34x9"	4.2in	31.5in	10.5in	14.0625in	30in	9in	3.08in	1.75in	0.12in	0.1in	6in	1in	1in
B34AL-30-12-SR	B34x30"	B34x12"	4.2in	31.5in	13.5in	13.1875in	30in	12in	3.08in	1.75in	0.12in	0.1in	6in	1in	1in
B34AL-30-18-SR	B34x30"	B34x18"	4.2in	31.5in	19.5in	11.500in	30in	18in	3.08in	1.75in	0.12in	0.1in	6in	1in	1in
B34AL-30-24-SR	B34x30"	B34x24"	4.2in	31.5in	25.5in	9.7500in	30in	24in	3.08in	1.75in	0.12in	0.1in	6in	1in	1in
B34AL-36-06-SR	B34x36"	B34x6"	4.2in	37.5in	7.5in	16.6875in	36in	6in	3.08in	1.75in	0.12in	0.1in	6in	1in	1in
B34AL-36-09-SR	B34x36"	B34x9"	4.2in	37.5in	10.5in	15.8125in	36in	9in	3.08in	1.75in	0.12in	0.1in	6in	1in	1in
B34AL-36-12-SR	B34x36"	B34x12"	4.2in	37.5in	13.5in	14.9375in	36in	12in	3.08in	1.75in	0.12in	0.1in	6in	1in	1in
B34AL-36-18-SR	B34x36"	B34x18"	4.2in	37.5in	19.5in	13.1875in	36in	18in	3.08in	1.75in	0.12in	0.1in	6in	1in	1in
B34AL-36-24-SR	B34x36"	B34x24"	4.2in	37.5in	25.5in	11.500in	36in	24in	3.08in	1.75in	0.12in	0.1in	6in	1in	1in
B34AL-36-30-SR	B34x36"	B34x30"	4.2in	37.5in	31.5in	9.7500in	36in	30in	3.08in	1.75in	0.12in	0.1in	6in	1in	1in
B34AL-42-06-SR	B34x42"	B34x6"	4.2in	43.5in	7.5in	18.375in	42in	6in	3.08in	1.75in	0.12in	0.1in	6in	1in	1in
B34AL-42-09-SR	B34x42"	B34x9"	4.2in	43.5in	10.5in	17.500in	42in	9in	3.08in	1.75in	0.12in	0.1in	6in	1in	1in
B34AL-42-12-SR	B34x42"	B34x12"	4.2in	43.5in	13.5in	16.6875in	42in	12in	3.08in	1.75in	0.12in	0.1in	6in	1in	1in
B34AL-42-18-SR	B34x42"	B34x18"	4.2in	43.5in	19.5in	14.9375in	42in	18in	3.08in	1.75in	0.12in	0.1in	6in	1in	1in
B34AL-42-24-SR	B34x42"	B34x24"	4.2in	43.5in	25.5in	13.1875in	42in	24in	3.08in	1.75in	0.12in	0.1in	6in	1in	1in
B34AL-42-30-SR	B34x42"	B34x30"	4.2in	43.5in	31.5in	11.500in	42in	30in	3.08in	1.75in	0.12in	0.1in	6in	1in	1in
B34AL-42-36-SR 	B34x42"	B34x36"	4.2in	43.5in	37.5in	9.7500in	42in	36in	3.08in	1.75in	0.12in	0.1in	6in	1in	1in
B35AL-09-06-SR	B35x9"	B35x6"	5.06in	10.49in	7.49in	8.8750in	9in	6in	3.96in	1.75in	0.1in	0.09in	6in	1in	1in
B35AL-12-06-SR	B35x12"	B35x6"	5.06in	13.49in	7.49in	9.7500in	12in	6in	3.96in	1.75in	0.1in	0.09in	6in	1in	1in
B35AL-12-09-SR	B35x12"	B35x9"	5.06in	13.49in	10.49in	8.8750in	12in	9in	3.96in	1.75in	0.1in	0.09in	6in	1in	1in
B35AL-18-06-SR	B35x18"	B35x6"	5.06in	19.49in	7.49in	11.500in	18in	6in	3.96in	1.75in	0.1in	0.09in	6in	1in	1in
B35AL-18-09-SR	B35x18"	B35x9"	5.06in	19.49in	10.49in	10.625in	18in	9in	3.96in	1.75in	0.1in	0.09in	6in	1in	1in
B35AL-18-12-SR	B35x18"	B35x12"	5.06in	19.49in	13.49in	9.7500in	18in	12in	3.96in	1.75in	0.1in	0.09in	6in	1in	1in
B35AL-24-06-SR	B35x24"	B35x6"	5.06in	25.49in	7.49in	13.1875in	24in	6in	3.96in	1.75in	0.1in	0.09in	6in	1in	1in
B35AL-24-09-SR	B35x24"	B35x9"	5.06in	25.49in	10.49in	12.375in	24in	9in	3.96in	1.75in	0.1in	0.09in	6in	1in	1in
B35AL-24-12-SR	B35x24"	B35x12"	5.06in	25.49in	13.49in	11.500in	24in	12in	3.96in	1.75in	0.1in	0.09in	6in	1in	1in
B35AL-24-18-SR	B35x24"	B35x18"	5.06in	25.49in	19.49in	9.7500in	24in	18in	3.96in	1.75in	0.1in	0.09in	6in	1in	1in
B35AL-30-06-SR	B35x30"	B35x6"	5.06in	31.49in	7.49in	14.9375in	30in	6in	3.96in	1.75in	0.1in	0.09in	6in	1in	1in
B35AL-30-09-SR	B35x30"	B35x9"	5.06in	31.49in	10.49in	14.0625in	30in	9in	3.96in	1.75in	0.1in	0.09in	6in	1in	1in
B35AL-30-12-SR	B35x30"	B35x12"	5.06in	31.49in	13.49in	13.1875in	30in	12in	3.96in	1.75in	0.1in	0.09in	6in	1in	1in
B35AL-30-18-SR	B35x30"	B35x18"	5.06in	31.49in	19.49in	11.500in	30in	18in	3.96in	1.75in	0.1in	0.09in	6in	1in	1in
B35AL-30-24-SR	B35x30"	B35x24"	5.06in	31.49in	25.49in	9.7500in	30in	24in	3.96in	1.75in	0.1in	0.09in	6in	1in	1in
B35AL-36-06-SR	B35x36"	B35x6"	5.06in	37.49in	7.49in	16.6875in	36in	6in	3.96in	1.75in	0.1in	0.09in	6in	1in	1in
B35AL-36-09-SR	B35x36"	B35x9"	5.06in	37.49in	10.49in	15.8125in	36in	9in	3.96in	1.75in	0.1in	0.09in	6in	1in	1in
B35AL-36-12-SR	B35x36"	B35x12"	5.06in	37.49in	13.49in	14.9375in	36in	12in	3.96in	1.75in	0.1in	0.09in	6in	1in	1in
B35AL-36-18-SR	B35x36"	B35x18"	5.06in	37.49in	19.49in	13.1875in	36in	18in	3.96in	1.75in	0.1in	0.09in	6in	1in	1in
B35AL-36-24-SR	B35x36"	B35x24"	5.06in	37.49in	25.49in	11.500in	36in	24in	3.96in	1.75in	0.1in	0.09in	6in	1in	1in
B35AL-36-30-SR	B35x36"	B35x30"	5.06in	37.49in	31.49in	9.7500in	36in	30in	3.96in	1.75in	0.1in	0.09in	6in	1in	1in
B35AL-42-06-SR	B35x42"	B35x6"	5.06in	43.49in	7.49in	18.375in	42in	6in	3.96in	1.75in	0.1in	0.09in	6in	1in	1in
B35AL-42-09-SR	B35x42"	B35x9"	5.06in	43.49in	10.49in	17.500in	42in	9in	3.96in	1.75in	0.1in	0.09in	6in	1in	1in
B35AL-42-12-SR	B35x42"	B35x12"	5.06in	43.49in	13.49in	16.6875in	42in	12in	3.96in	1.75in	0.1in	0.09in	6in	1in	1in
B35AL-42-18-SR	B35x42"	B35x18"	5.06in	43.49in	19.49in	14.9375in	42in	18in	3.96in	1.75in	0.1in	0.09in	6in	1in	1in
B35AL-42-24-SR	B35x42"	B35x24"	5.06in	43.49in	25.49in	13.1875in	42in	24in	3.96in	1.75in	0.1in	0.09in	6in	1in	1in
B35AL-42-30-SR	B35x42"	B35x30"	5.06in	43.49in	31.49in	11.500in	42in	30in	3.96in	1.75in	0.1in	0.09in	6in	1in	1in
