CATRouPartNumber	CATRouSize	CATRouOutsideHeight	CATRouOutsideWidth	RungSpacing	InsideWidth	ActualWidth	LoadingDepth	RungHeight	RungLength	RailFlangeWidth	RailFlangeThickness	RailWebThickness	RailWebOffset
B34A18-06	B34x6"	4.2in	7.5in	18in	6in	7.5in	3.08in	1in	1in	1.75in	.12in	.1in	.75in
B34A18-09	B34x9"	4.2in	10.5in	18in	9in	10.5in	3.08in	1in	1in	1.75in	.12in	.1in	.75in
B34A18-12	B34x12"	4.2in	13.5in	18in	12in	13.5in	3.08in	1in	1in	1.75in	.12in	.1in	.75in
B34A18-18	B34x18"	4.2in	19.5in	18in	18in	19.5in	3.08in	1in	1in	1.75in	.12in	.1in	.75in
B34A18-24	B34x24"	4.2in	25.5in	18in	24in	25.5in	3.08in	1in	1in	1.75in	.12in	.1in	.75in
B34A18-30	B34x30"	4.2in	31.5in	18in	30in	31.5in	3.08in	1in	1in	1.75in	.12in	.1in	.75in
B34A18-36	B34x36"	4.2in	37.5in	18in	36in	37.5in	3.08in	1in	1in	1.75in	.12in	.1in	.75in
B34A18-42	B34x42"	4.2in	43.5in	18in	42in	43.5in	3.08in	1in	1in	1.75in	.12in	.1in	.75in
B35A18-06	B35x6"	5.06in	7.49in	18in	6in	7.49in	3.96in	1in	1in	1.75in	.1in	.09in	.745in
B35A18-09	B35x9"	5.06in	10.49in	18in	9in	10.49in	3.96in	1in	1in	1.75in	.1in	.09in	.745in
B35A18-12	B35x12"	5.06in	13.49in	18in	12in	13.49in	3.96in	1in	1in	1.75in	.1in	.09in	.745in
B35A18-18	B35x18"	5.06in	19.49in	18in	18in	19.49in	3.96in	1in	1in	1.75in	.1in	.09in	.745in
B35A18-24	B35x24"	5.06in	25.49in	18in	24in	25.49in	3.96in	1in	1in	1.75in	.1in	.09in	.745in
B35A18-30	B35x30"	5.06in	31.49in	18in	30in	31.49in	3.96in	1in	1in	1.75in	.1in	.09in	.745in
B35A18-36	B35x36"	5.06in	37.49in	18in	36in	37.49in	3.96in	1in	1in	1.75in	.1in	.09in	.745in
B35A18-42	B35x42"	5.06in	43.49in	18in	42in	43.49in	3.96in	1in	1in	1.75in	.1in	.09in	.745in
B36A18-06	B36x6"	6.17in	7.45in	18in	6in	7.45in	5.06in	1in	1in	2in	.11in	.075in	.725in
B36A18-09	B36x9"	6.17in	10.45in	18in	9in	10.45in	5.06in	1in	1in	2in	.11in	.075in	.725in
B36A18-12	B36x12"	6.17in	13.45in	18in	12in	13.45in	5.06in	1in	1in	2in	.11in	.075in	.725in
B36A18-18	B36x18"	6.17in	19.45in	18in	18in	19.45in	5.06in	1in	1in	2in	.11in	.075in	.725in
B36A18-24	B36x24"	6.17in	25.45in	18in	24in	25.45in	5.06in	1in	1in	2in	.11in	.075in	.725in
B36A18-30	B36x30"	6.17in	31.45in	18in	30in	31.45in	5.06in	1in	1in	2in	.11in	.075in	.725in
B36A18-36	B36x36"	6.17in	37.45in	18in	36in	37.45in	5.06in	1in	1in	2in	.11in	.075in	.725in
B36A18-42	B36x42"	6.17in	43.45in	18in	42in	43.45in	5.06in	1in	1in	2in	.11in	.075in	.725in
B37A18-06	B37x6"	7.14in	7.5in	18in	6in	7.5in	6.05in	1in	1in	2in	.09in	.075in	.75in
B37A18-09	B37x9"	7.14in	10.5in	18in	9in	10.5in	6.05in	1in	1in	2in	.09in	.075in	.75in
B37A18-12	B37x12"	7.14in	13.5in	18in	12in	13.5in	6.05in	1in	1in	2in	.09in	.075in	.75in
B37A18-18	B37x18"	7.14in	19.5in	18in	18in	19.5in	6.05in	1in	1in	2in	.09in	.075in	.75in
B37A18-24	B37x24"	7.14in	25.5in	18in	24in	25.5in	6.05in	1in	1in	2in	.09in	.075in	.75in
B37A18-30	B37x30"	7.14in	31.5in	18in	30in	31.5in	6.05in	1in	1in	2in	.09in	.075in	.75in
B37A18-36	B37x36"	7.14in	37.5in	18in	36in	37.5in	6.05in	1in	1in	2in	.09in	.075in	.75in
B37A18-42	B37x42"	7.14in	43.5in	18in	42in	43.5in	6.05in	1in	1in	2in	.09in	.075in	.75in
