CATRouPartNumber	CATRouSize	CATRouOutsideHeight (in)	CATRouOutsideWidth (in)	Depth (in)	Width (in)	Thickness (in)
C15x50	15"x50"	15	50	15	3.75	0.625
C15x40	15"x40"	15	40	15	3.5	0.625
C15x33.9	15"x33.9"	15	33.9	15	3.375	0.625
C12x30	12"x30"	12	30	12	3.125	0.5
C12x25	12"x25"	12	25	12	3	0.5
C12x20.7	12"x20.7"	12	20.7	12	3	0.5
C10x30	10"x30"	10	30	10	3	0.4375
C10x25	10"x25"	10	25	10	2.875	0.4375
C10x20	10"x20"	10	20	10	2.75	0.4375
C10x15.3	10"x15.3"	10	15.3	10	2.625	0.4375
C9x20	9"x20"	9	20	9	2.625	0.4375
C9x15	9"x15"	9	15	9	2.5	0.4375
C9x13.4	9"x13.4"	9	13.4	9	2.375	0.4375
C8x18.75	8"x18.75"	8	18.75	8	2.5	0.375
C8x13.75	8"x13.75"	8	13.75	8	2.375	0.375
C8x11.5	8"x11.5"	8	11.5	8	2.25	0.375
C7x14.75	7"x14.75"	7	14.75	7	2.25	0.375
C7x12.25	7"x12.25"	7	12.25	7	2.25	0.375
C7x9.8	7"x9.8"	7	9.8	7	2.125	0.375
C6x13	6"x13"	6	13	6	2.125	0.3125
C6x10.5	6"x10.5"	6	10.5	6	2	0.3125
C6x8.2	6"x8.2"	6	8.2	6	1.875	0.3125
C5x9	5"x9"	5	9	5	1.875	0.3125
C5x6.7	5"x6.7"	5	6.7	5	1.75	0.3125
C4x7.25	4"x7.25"	4	7.25	4	1.75	0.3125
C4x5.4	4"x5.4"	4	5.4	4	1.625	0.3125
C3x6	3"x6"	3	6	3	1.625	0.25
C3x5	3"x5"	3	5	3	1.5	0.25
C3x4.1	3"x4.1"	3	4.1	3	1.375	0.25
