CATRouPartNumber	CATRouSize	CATRouOutsideHeight (in)	CATRouOutsideWidth (in)	Depth (in)	Width (in)	Thickness (in)
W36X300	36"x300"	36	300.000	36.75	16.625	1.6875
W36X280	36"x280"	36	280.000	36.5	16.625	1.5625
W36X260	36"x260"	36	260.000	36.25	16.5	1.4375
W36X245	36"x245"	36	245.000	36	16.5	1.375
W36X230	36"x230"	36	230.000	35.875	16.5	1.25
W36X194	36"x194"	36	194.000	36.5	12.125	1.25
W36X182	36"x182"	36	182.000	36.375	12.125	1.1875
W36X170	36"x170"	36	170.000	36.125	12	1.125
W36X160	36"x160"	36	160.000	36	12	1
W36X150	36"x150"	36	150.000	35.875	12	0.9375
W36X135	36"x135"	36	135.000	35.5	12	0.8125
W33X240	33"x240"	33	240.000	33.5	15.875	1.375
W33X220	33"x220"	33	220.000	33.25	15.75	1.25
W33X200	33"x200"	33	200.000	33	15.75	1.125
W33X152	33"x152"	33	152.000	33.5	11.625	1.0625
W33X141	33"x141"	33	141.000	33.25	11.5	0.9375
W33X130	33"x130"	33	130.000	33.125	11.5	0.875
W33X118	33"x118"	33	118.000	32.875	11.5	0.75
W30X210	30"x210"	30	210.000	30.375	15.125	1.3125
W30X190	30"x190"	30	190.000	30.125	15	1.1875
W30X172	30"x172"	30	172.000	29.875	15	1.0625
W30X132	30"x132"	30	132.000	30.25	10.5	1
W30X124	30"x124"	30	124.000	30.125	10.5	0.9375
W30X116	30"x116"	30	116.000	30	10.5	0.875
W30X108	30"x108"	30	108.000	29.875	10.5	0.75
W30X99	30"x99"	30	99.000	29.625	10.5	0.6875
W27X177	27"x177"	27	177.000	27.25	14.125	1.1875
W27X160	27"x160"	27	160.000	27.125	14	1.0625
W27X145	27"x145"	27	145.000	26.875	14	1
W27X114	27"x114"	27	114.000	27.25	10.125	0.9375
W27X102	27"x102"	27	102.000	27.125	10	0.8125
W27X94	27"x94"	27	94.000	26.875	10	0.75
W27X84	27"x84"	27	84.000	26.75	10	0.625
W24X160	24"x160"	24	160.000	24.75	14.125	1.125
W24X145	24"x145"	24	145.000	24.5	14	1
W24X130	24"x130"	24	130.000	24.25	14	0.875
W24X120	24"x120"	24	120.000	24.25	12.125	0.9375
W24X110	24"x110"	24	110.000	24.125	12	0.875
W24X100	24"x100"	24	100.000	24	12	0.75
W24X94	24"x94"	24	94.000	24.25	9	0.875
W24X84	24"x84"	24	84.000	24.125	9	0.75
W24X76	24"x76"	24	76.000	23.875	9	0.6875
W24X68	24"x68"	24	68.000	23.75	9	0.5625
W24X61	24"x61"	24	61.000	23.75	7	0.5625
W24X55	24"x55"	24	55.000	23.5	7	0.5
W21X142	21"x142"	21	142.000	21.5	13.125	1.125
W21X127	21"x127"	21	127.000	21.25	13	1
W21X112	21"x112"	21	112.000	21	13	0.875
W21X96	21"x96"	21	96.000	21.125	9	0.9375
W21X82	21"x82"	21	82.000	20.875	9	0.8125
W21X73	21"x73"	21	73.000	21.25	8.25	0.75
